ANTONIOLI Mattia POSITION,ANTONIOLI Mattia LAP TIME,ANTONIOLI Mattia ELAPSED TIME,OLAH Bence POSITION,OLAH Bence LAP TIME,OLAH Bence ELAPSED TIME,MILOVANOV Sergei POSITION,MILOVANOV Sergei LAP TIME,MILOVANOV Sergei ELAPSED TIME,PARK In Wook POSITION,PARK In Wook LAP TIME,PARK In Wook ELAPSED TIME,ZHAXYBAYEV Mersaid POSITION,ZHAXYBAYEV Mersaid LAP TIME,ZHAXYBAYEV Mersaid ELAPSED TIME,KRUEGER John-Henry POSITION,KRUEGER John-Henry LAP TIME,KRUEGER John-Henry ELAPSED TIME,Furkan AKAR POSITION,Furkan AKAR LAP TIME,Furkan AKAR ELAPSED TIME
2,11.75,11.75,1,11.60,11.60,4,12.15,12.15,5,12.34,,3,11.97,11.97,6,12.54,12.54,7,12.72,12.72
3,16.86,28.61,2,16.85,28.45,1,15.95,28.10,6,16.72,,5,16.91,28.88,7,16.74,29.28,4,16.01,28.73
5,13.34,41.95,3,13.47,41.92,1,13.57,41.67,3,12.86,,7,13.18,42.06,6,12.70,41.98,2,13.06,41.79
1,12.14,54.09,6,12.57,54.49,4,12.56,54.23,5,12.42,,7,12.62,54.68,2,12.13,54.11,3,12.39,54.18
1,11.39,1:05.48,6,11.58,1:06.07,5,11.70,1:05.93,4,11.52,,7,11.59,1:06.27,3,11.50,1:05.61,2,11.40,1:05.58
1,11.79,1:17.27,7,11.76,1:17.83,5,11.79,1:17.72,2,11.52,,6,11.48,1:17.75,4,12.04,1:17.65,3,11.90,1:17.48
1,11.14,1:28.41,7,11.24,1:29.07,5,11.11,1:28.83,3,11.24,,2,10.76,1:28.51,6,11.21,1:28.86,4,11.26,1:28.74
2,10.57,1:38.98,5,10.20,1:39.27,6,10.48,1:39.31,3,10.45,,4,10.68,1:39.19,1,10.11,1:38.97,7,10.70,1:39.44
3,9.57,1:48.55,2,9.22,1:48.49,5,9.42,1:48.73,4,9.56,,6,9.67,1:48.86,1,9.44,1:48.41,7,9.44,1:48.88
4,9.29,1:57.84,3,9.28,1:57.77,4,9.11,1:57.84,2,8.99,,7,9.38,1:58.24,1,9.18,1:57.59,6,9.14,1:58.02
4,9.18,2:07.02,3,9.18,2:06.95,2,8.98,2:06.82,1,8.76,,6,8.92,2:07.16,7,9.80,2:07.39,5,9.08,2:07.10
3,8.90,2:15.92,4,9.06,2:16.01,2,8.95,2:15.77,1,9.17,,5,9.12,2:16.28,6,8.94,2:16.33,7,9.27,2:16.37
3,8.95,2:24.87,5,9.38,2:25.39,2,9.05,2:24.82,1,9.05,,6,9.22,2:25.50,4,8.95,2:25.28,7,9.22,2:25.59
1,9.19,2:34.066,5,9.97,2:35.362,2,9.25,2:34.073,1,9.09,,4,9.77,2:35.270,3,9.18,2:34.465,6,9.78,2:35.376
