Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME,Yuma SAKURAI POSITION,Yuma SAKURAI LAP TIME,Yuma SAKURAI ELAPSED TIME
4,12.93,12.93,2,12.75,12.75,3,12.85,12.85,1,12.66,12.66,5,13.02,13.02
5,10.08,23.01,3,10.05,22.80,4,9.97,22.82,1,9.97,22.63,2,9.67,22.69
5,9.27,32.28,3,9.31,32.11,1,9.09,31.91,2,9.40,32.03,4,9.48,32.17
5,9.02,41.30,2,8.93,41.04,1,9.08,40.99,3,9.06,41.09,4,9.04,41.21
5,9.27,50.57,2,9.23,50.27,1,9.19,50.18,3,9.27,50.36,4,9.28,50.49
5,9.27,59.84,2,9.26,59.53,1,9.29,59.47,3,9.29,59.65,4,9.25,59.74
5,8.96,1:08.80,2,8.96,1:08.49,1,8.92,1:08.39,3,8.92,1:08.57,4,8.93,1:08.67
5,9.11,1:17.91,1,9.04,1:17.53,2,9.14,1:17.53,3,9.10,1:17.67,4,9.15,1:17.82
5,9.53,1:27.435,1,8.99,1:26.517,3,9.02,1:26.546,2,8.87,1:26.537,4,9.50,1:27.313
