Aika KLEIN POSITION,Aika KLEIN LAP TIME,Aika KLEIN ELAPSED TIME,Jessica HEWITT POSITION,Jessica HEWITT LAP TIME,Jessica HEWITT ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Anna ROMANOWICZ POSITION,Anna ROMANOWICZ LAP TIME,Anna ROMANOWICZ ELAPSED TIME,Francesca JACKSON POSITION,Francesca JACKSON LAP TIME,Francesca JACKSON ELAPSED TIME
3,11.59,11.59,4,11.64,11.64,2,11.38,11.38,1,11.24,11.24,5,11.70,11.70
4,16.15,27.75,1,15.80,27.45,3,16.33,27.71,2,16.31,27.55,5,16.28,27.99
5,14.36,42.11,3,12.62,40.07,2,12.29,40.00,1,12.41,39.96,4,12.48,40.47
4,10.52,52.64,3,12.33,52.40,2,12.34,52.34,1,12.34,52.30,5,12.38,52.85
4,11.92,1:04.57,1,12.00,1:04.41,2,12.10,1:04.45,3,12.18,1:04.49,5,12.04,1:04.90
4,10.86,1:15.43,1,10.91,1:15.33,3,10.92,1:15.38,2,10.85,1:15.34,5,10.93,1:15.83
1,9.98,1:25.42,2,10.17,1:25.51,3,10.29,1:25.67,4,10.32,1:25.67,5,10.16,1:26.00
2,10.57,1:36.00,1,10.35,1:35.87,3,10.34,1:36.02,4,10.37,1:36.04,5,10.35,1:36.35
2,10.56,1:46.56,1,10.68,1:46.55,4,10.76,1:46.79,3,10.59,1:46.64,5,10.61,1:46.97
2,10.13,1:56.69,1,9.95,1:56.50,4,10.07,1:56.86,3,10.08,1:56.73,5,10.27,1:57.25
2,9.90,2:06.60,1,9.94,2:06.44,4,9.91,2:06.77,3,10.00,2:06.73,5,10.23,2:07.48
2,9.84,2:16.44,1,9.76,2:16.21,3,9.84,2:16.61,4,10.48,2:17.21,5,10.50,2:17.99
2,10.05,2:26.49,1,10.08,2:26.29,3,10.09,2:26.71,4,10.55,2:27.76,5,10.89,2:28.88
1,10.42,2:36.910,2,10.64,2:36.930,3,10.30,2:37.008,4,11.21,2:38.962,5,11.01,2:39.890
