SHAMUKHANOV Yerkebulan POSITION,SHAMUKHANOV Yerkebulan LAP TIME,SHAMUKHANOV Yerkebulan ELAPSED TIME,John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,AN Kai POSITION,AN Kai LAP TIME,AN Kai ELAPSED TIME,Jason CLAGUE POSITION,Jason CLAGUE LAP TIME,Jason CLAGUE ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,Ryan McANUFF POSITION,Ryan McANUFF LAP TIME,Ryan McANUFF ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME
5,9.78,9.78,3,9.36,9.36,7,9.96,9.96,4,9.51,9.51,2,9.23,,1,9.15,9.15,6,9.79,9.79
1,11.30,21.08,4,11.94,21.30,7,11.71,21.67,6,12.00,21.51,2,11.90,,5,12.20,21.35,3,11.45,21.24
1,11.03,32.11,4,10.97,32.27,7,10.93,32.60,6,10.98,32.49,2,11.07,,5,11.03,32.38,2,10.96,32.20
1,11.16,43.27,3,11.29,43.56,7,11.41,44.01,6,11.39,43.88,4,11.37,,5,11.37,43.75,2,11.25,43.45
3,10.55,53.82,2,10.22,53.78,7,10.29,54.30,6,10.27,54.15,4,10.44,,5,10.33,54.08,1,10.26,53.71
5,10.27,1:04.09,1,9.90,1:03.68,7,10.05,1:04.35,6,10.09,1:04.24,3,9.96,,4,9.97,1:04.05,2,10.13,1:03.84
5,9.90,1:13.99,2,10.09,1:13.77,6,9.82,1:14.17,7,10.02,1:14.26,3,9.81,,4,9.89,1:13.94,1,9.84,1:13.68
4,9.61,1:23.60,7,10.82,1:24.59,3,9.35,1:23.52,6,9.69,1:23.95,5,9.88,,2,9.50,1:23.44,1,9.57,1:23.25
5,9.53,1:33.13,7,9.07,1:33.66,3,9.35,1:32.87,6,9.29,1:33.24,4,9.33,,2,9.34,1:32.78,1,9.32,1:32.57
5,9.20,1:42.33,7,9.03,1:42.69,2,9.12,1:41.99,6,9.31,1:42.55,3,9.20,,3,9.41,1:42.19,1,9.24,1:41.81
6,9.53,1:51.86,5,9.09,1:51.78,2,9.17,1:51.16,7,9.49,1:52.04,3,9.19,,4,9.53,1:51.72,1,9.21,1:51.02
6,9.66,2:01.52,4,9.30,2:01.08,2,9.11,2:00.27,7,9.80,2:01.84,3,9.26,,5,9.57,2:01.29,1,9.12,2:00.14
6,9.93,2:11.45,4,9.32,2:10.40,2,9.22,2:09.49,7,9.91,2:11.75,3,9.57,,5,9.85,2:11.14,1,9.10,2:09.24
0,,PHOTO,3,9.55,2:19.95,2,9.41,2:18.90,0,,PHOTO,4,10.21,,5,10.05,2:21.19,1,9.41,2:18.65
