Gergana PATSOVA POSITION,Gergana PATSOVA LAP TIME,Gergana PATSOVA ELAPSED TIME,Karolina REGUCKA POSITION,Karolina REGUCKA LAP TIME,Karolina REGUCKA ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Inna SIMONOVA POSITION,Inna SIMONOVA LAP TIME,Inna SIMONOVA ELAPSED TIME,Anne MALTAIS POSITION,Anne MALTAIS LAP TIME,Anne MALTAIS ELAPSED TIME
2,8.670,8.670,1,8.560,8.560,5,9.180,9.180,3,8.820,8.820,4,9.060,9.060
3,14.220,22.890,1,14.160,22.720,4,13.730,22.910,2,14.000,22.820,5,14.070,23.130
3,12.470,35.370,1,12.340,35.060,5,12.670,35.590,2,12.520,35.340,4,12.290,35.430
2,11.370,46.740,1,11.620,46.680,4,11.220,46.810,3,11.440,46.780,5,11.460,46.890
2,10.540,57.280,4,10.730,57.420,3,10.590,57.410,1,10.270,57.060,5,10.530,57.420
1,11.040,1:08.330,5,11.380,1:08.800,4,11.310,1:08.720,2,11.330,1:08.390,3,11.080,1:08.500
3,12.290,1:20.620,1,11.600,1:20.410,4,12.050,1:20.780,2,12.120,1:20.520,5,12.300,1:20.800
3,11.190,1:31.820,1,11.070,1:31.480,4,11.100,1:31.880,2,11.050,1:31.570,5,11.080,1:31.890
5,10.820,1:42.640,2,10.800,1:42.280,4,10.640,1:42.520,1,10.460,1:42.040,3,10.490,1:42.380
5,10.620,1:53.260,1,10.570,1:52.860,3,10.480,1:53.000,4,11.030,1:53.070,2,10.600,1:52.980
5,34.020,2:27.280,3,10.690,2:03.560,2,10.300,2:03.310,4,18.590,2:11.670,1,10.100,2:03.090
5,22.160,2:49.450,3,11.160,2:14.720,2,10.190,2:13.500,4,14.050,2:25.720,1,10.390,2:13.490
5,15.760,3:05.220,3,11.560,2:26.290,2,10.470,2:23.980,4,13.450,2:39.180,1,10.470,2:23.960
5,14.720,3:19.940,3,12.570,2:38.860,1,10.180,2:34.160,4,13.900,2:53.080,2,10.560,2:34.530
