Marie-Andree MENDES-CAMPEAU POSITION,Marie-Andree MENDES-CAMPEAU LAP TIME,Marie-Andree MENDES-CAMPEAU ELAPSED TIME,Liesbeth MAU ASAM POSITION,Liesbeth MAU ASAM LAP TIME,Liesbeth MAU ASAM ELAPSED TIME,Debora SECCHI POSITION,Debora SECCHI LAP TIME,Debora SECCHI ELAPSED TIME,Yasuko SAKASHITA POSITION,Yasuko SAKASHITA LAP TIME,Yasuko SAKASHITA ELAPSED TIME,Malwina ZAWADA POSITION,Malwina ZAWADA LAP TIME,Malwina ZAWADA ELAPSED TIME,Alex STANLEY POSITION,Alex STANLEY LAP TIME,Alex STANLEY ELAPSED TIME
2,8.73,8.73,1,8.71,8.71,5,9.14,9.14,3,8.99,8.99,4,9.03,9.03,6,9.35,9.35
1,12.77,21.50,2,12.91,21.62,4,12.86,22.01,3,12.78,21.77,5,13.00,22.04,6,12.69,22.05
1,12.57,34.07,2,12.52,34.14,4,12.34,34.35,3,12.43,34.21,5,12.41,34.45,6,12.48,34.53
2,12.53,46.60,1,12.44,46.58,6,12.51,46.87,3,12.43,46.64,5,12.36,46.82,4,12.24,46.78
3,10.88,57.48,2,10.87,57.46,6,10.88,57.75,1,10.77,57.42,4,10.76,57.58,5,10.94,57.72
1,10.55,1:08.04,3,10.86,1:08.32,5,10.83,1:08.59,2,10.81,1:08.23,4,10.84,1:08.43,6,10.92,1:08.65
1,10.71,1:18.76,3,10.73,1:19.05,4,10.68,1:19.27,2,10.60,1:18.84,6,11.03,1:19.46,5,10.73,1:19.38
1,10.65,1:29.42,3,10.45,1:29.51,4,10.54,1:29.81,2,10.64,1:29.48,5,10.48,1:29.94,6,10.61,1:29.99
2,11.09,1:40.51,3,11.03,1:40.55,4,10.97,1:40.79,1,11.02,1:40.50,6,10.97,1:40.92,5,10.92,1:40.91
2,10.10,1:50.61,3,10.12,1:50.67,4,10.23,1:51.02,1,10.10,1:50.61,5,10.35,1:51.27,6,10.53,1:51.45
3,10.35,2:00.96,2,10.27,2:00.94,4,10.16,2:01.18,1,10.18,2:00.80,5,10.14,2:01.41,6,10.26,2:01.71
3,10.14,2:11.11,2,10.08,2:11.03,4,10.14,2:11.33,1,10.14,2:10.94,5,10.38,2:11.80,6,10.54,2:12.26
3,10.28,2:21.39,2,10.25,2:21.29,4,10.33,2:21.66,1,10.27,2:21.21,5,11.07,2:22.88,6,10.94,2:23.21
2,10.50,2:31.889,3,10.70,2:31.987,4,10.61,2:32.264,1,10.56,2:31.765,5,11.33,2:34.205,6,11.35,2:34.552
