MALISZEWSKA Natalia POSITION,MALISZEWSKA Natalia LAP TIME,MALISZEWSKA Natalia ELAPSED TIME,SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME,Iong A KIM POSITION,Iong A KIM LAP TIME,Iong A KIM ELAPSED TIME,IVANDIC Danijela POSITION,IVANDIC Danijela LAP TIME,IVANDIC Danijela ELAPSED TIME
1,14.40,14.40,2,14.53,14.53,4,14.66,14.66,3,14.64,14.64,5,14.86,14.86
2,10.99,25.39,3,11.01,25.54,4,10.99,25.65,1,10.64,25.28,5,11.02,25.88
2,10.57,35.96,3,10.50,36.04,4,10.51,36.16,1,10.58,35.86,5,10.44,36.32
2,10.24,46.20,3,10.26,46.30,4,10.25,46.41,1,10.23,46.09,5,10.49,46.81
2,10.03,56.23,3,10.00,56.30,4,9.99,56.40,1,10.06,56.15,5,10.77,57.58
3,9.88,1:06.11,1,9.72,1:06.02,3,9.71,1:06.11,2,9.91,1:06.06,5,11.33,1:08.91
4,9.92,1:16.03,1,9.49,1:15.51,2,9.56,1:15.67,3,9.76,1:15.82,5,12.10,1:21.01
4,9.86,1:25.89,1,9.79,1:25.30,2,9.71,1:25.38,3,9.69,1:25.51,5,12.69,1:33.70
4,9.96,1:35.833,1,9.97,1:35.27,2,9.93,1:35.31,3,9.87,1:35.369,5,13.14,1:46.815
