Guillaume MATHIEU POSITION,Guillaume MATHIEU LAP TIME,Guillaume MATHIEU ELAPSED TIME,Yevgen YAKOVLEV POSITION,Yevgen YAKOVLEV LAP TIME,Yevgen YAKOVLEV ELAPSED TIME,Takafumi NISHITANI POSITION,Takafumi NISHITANI LAP TIME,Takafumi NISHITANI ELAPSED TIME,Sascha LAUBER POSITION,Sascha LAUBER LAP TIME,Sascha LAUBER ELAPSED TIME
2,12.948,12.948,4,13.077,13.077,1,12.849,12.849,3,12.964,12.964
2,10.026,22.974,4,10.081,23.158,1,10.068,22.917,3,10.080,23.043
3,9.895,32.868,4,9.932,33.090,1,9.707,32.624,2,9.714,32.757
3,9.493,42.361,4,9.536,42.626,1,9.497,42.120,2,9.470,42.226
3,9.639,51.999,4,9.512,52.138,1,9.607,51.726,2,9.648,51.874
3,9.519,1:01.518,4,9.634,1:01.772,1,9.639,1:01.365,2,9.552,1:01.425
3,9.543,1:11.060,4,9.343,1:11.114,1,9.204,1:10.568,2,9.485,1:10.909
3,9.587,1:20.646,4,9.678,1:20.792,1,9.487,1:20.055,2,9.664,1:20.573
3,9.91,1:30.549,4,9.85,1:30.639,1,10.06,1:30.114,2,9.96,1:30.528
