JUNG Ba-Ra POSITION,JUNG Ba-Ra LAP TIME,JUNG Ba-Ra ELAPSED TIME,Hiroko SADAKANE POSITION,Hiroko SADAKANE LAP TIME,Hiroko SADAKANE ELAPSED TIME,Lana GEHRING POSITION,Lana GEHRING LAP TIME,Lana GEHRING ELAPSED TIME,WANG Meng POSITION,WANG Meng LAP TIME,WANG Meng ELAPSED TIME
3,13.82,13.82,1,13.55,13.55,4,13.85,13.85,2,13.79,13.79
1,9.57,23.40,4,10.03,23.59,2,9.58,23.43,3,9.80,23.59
4,10.08,33.48,1,9.12,32.71,2,9.47,32.90,3,9.66,33.26
4,9.21,42.70,3,9.95,42.67,1,9.57,42.47,2,9.32,42.58
4,9.71,52.41,2,9.62,52.29,1,9.76,52.24,3,9.74,52.32
3,9.90,1:02.32,4,10.03,1:02.32,1,9.68,1:01.93,2,9.81,1:02.13
4,9.70,1:12.02,1,9.49,1:11.82,2,10.00,1:11.94,3,9.82,1:11.96
3,9.52,1:21.55,4,9.82,1:21.64,1,9.47,1:21.41,2,9.51,1:21.47
3,10.08,1:31.626,4,10.57,1:32.201,2,9.95,1:31.359,1,9.67,1:31.133
