HOOGERWERF Dylan POSITION,HOOGERWERF Dylan LAP TIME,HOOGERWERF Dylan ELAPSED TIME,IVLIEV Konstantin POSITION,IVLIEV Konstantin LAP TIME,IVLIEV Konstantin ELAPSED TIME,Skyler KAH POSITION,Skyler KAH LAP TIME,Skyler KAH ELAPSED TIME,NAVARRO Tristan POSITION,NAVARRO Tristan LAP TIME,NAVARRO Tristan ELAPSED TIME
3,15.85,15.85,1,15.56,15.56,4,16.00,16.00,2,15.71,15.71
3,12.68,28.53,1,12.66,28.22,4,12.70,28.70,2,12.61,28.32
3,10.89,39.42,2,11.05,39.27,4,10.84,39.54,1,10.86,39.18
2,9.90,49.32,3,10.17,49.44,4,10.05,49.59,1,10.02,49.20
1,9.12,58.44,3,9.06,58.50,4,9.35,58.94,2,9.28,58.48
1,8.90,1:07.34,2,8.94,1:07.44,4,9.10,1:08.04,3,9.09,1:07.57
1,8.81,1:16.15,2,8.79,1:16.23,4,9.28,1:17.32,3,8.75,1:16.32
1,8.77,1:24.92,3,8.88,1:25.11,4,9.60,1:26.92,2,8.70,1:25.02
1,8.97,1:33.89,3,8.90,1:34.01,4,10.07,1:36.99,2,8.94,1:33.96
