SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME,Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME,Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME,Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME
1,13.19,13.19,2,13.37,13.37,4,13.68,13.68,3,13.51,13.51
2,10.28,23.47,1,9.98,23.35,4,10.00,23.68,3,10.07,23.58
2,10.26,33.73,1,10.30,33.65,4,10.14,33.82,3,10.24,33.82
3,10.04,43.77,2,10.04,43.69,1,9.80,43.62,4,10.00,43.82
4,9.90,53.67,3,9.82,53.51,2,9.74,53.36,1,9.38,53.20
4,9.26,1:02.93,3,9.18,1:02.69,2,9.19,1:02.55,1,9.27,1:02.47
4,9.32,1:12.25,3,9.23,1:11.92,1,9.14,1:11.69,2,9.41,1:11.88
4,9.35,1:21.60,2,9.02,1:20.94,1,9.16,1:20.85,3,9.55,1:21.43
4,9.77,1:31.362,2,9.67,1:30.602,1,9.72,1:30.568,3,9.84,1:31.265
