LIN Yu-Tzu POSITION,LIN Yu-Tzu LAP TIME,LIN Yu-Tzu ELAPSED TIME,Michaela KUNCIROVA POSITION,Michaela KUNCIROVA LAP TIME,Michaela KUNCIROVA ELAPSED TIME,Ranya EZZI POSITION,Ranya EZZI LAP TIME,Ranya EZZI ELAPSED TIME
3,20.53,20.53,1,20.20,20.20,2,20.30,20.30
3,15.17,35.70,1,15.25,35.45,2,15.29,35.59
2,13.91,49.61,1,14.10,49.55,3,14.05,49.64
1,10.78,1:00.39,2,10.93,1:00.48,3,10.96,1:00.60
1,10.36,1:10.75,2,10.34,1:10.82,3,10.32,1:10.92
2,10.30,1:21.05,1,10.21,1:21.03,3,10.27,1:21.19
3,10.18,1:31.23,1,9.87,1:30.90,2,10.03,1:31.22
3,10.09,1:41.32,1,9.89,1:40.79,2,9.71,1:40.93
3,10.17,1:51.490,2,10.01,1:50.809,1,9.87,1:50.803
