Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Jordan MALONE POSITION,Jordan MALONE LAP TIME,Jordan MALONE ELAPSED TIME
2,8.616,8.616,1,8.586,8.586,4,8.918,8.918,3,8.845,8.845,5,9.304,9.304
1,12.795,21.411,2,12.919,21.505,4,12.943,21.861,3,12.785,21.631,5,12.765,22.069
1,12.074,33.486,2,11.994,33.499,4,12.032,33.893,3,12.134,33.764,5,12.087,34.156
1,11.988,45.474,3,12.017,45.517,4,11.919,45.812,2,11.752,45.516,5,11.919,46.075
1,11.010,56.484,2,11.064,56.581,4,11.075,56.887,3,11.112,56.628,5,11.037,57.113
1,10.713,1:07.197,4,10.773,1:07.353,2,10.407,1:07.293,3,10.671,1:07.299,5,10.429,1:07.541
3,9.679,1:16.876,4,9.647,1:17.000,1,9.450,1:16.743,5,9.793,1:17.091,2,9.236,1:16.777
3,9.551,1:26.428,5,9.507,1:26.507,1,9.593,1:26.336,4,9.403,1:26.495,2,9.651,1:26.428
1,9.471,1:35.899,4,9.534,1:36.041,3,9.695,1:36.031,5,9.616,1:36.111,2,9.570,1:35.999
1,9.632,1:45.531,4,9.788,1:45.829,2,9.666,1:45.696,5,9.762,1:45.872,3,9.738,1:45.737
2,9.721,1:55.252,5,9.752,1:55.581,1,9.535,1:55.231,4,9.596,1:55.468,3,9.701,1:55.438
2,9.458,2:04.710,5,10.082,2:05.662,1,9.299,2:04.530,4,9.697,2:05.165,3,9.364,2:04.801
0,,,4,10.121,2:15.784,1,9.344,2:13.874,3,9.890,2:15.055,2,9.271,2:14.072
3,,2:23.807,5,10.874,2:26.657,1,9.655,2:23.529,4,10.290,2:25.345,2,9.643,2:23.715
