Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Robert SEIFERT POSITION,Robert SEIFERT LAP TIME,Robert SEIFERT ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME,Simon CHO POSITION,Simon CHO LAP TIME,Simon CHO ELAPSED TIME
1,12.89,12.89,3,13.12,13.12,5,13.25,13.25,2,13.04,13.04,4,13.18,13.18
3,9.65,22.54,4,9.49,22.61,5,9.46,22.71,2,9.44,22.48,1,9.21,22.39
2,10.47,33.01,3,10.46,33.07,5,10.56,33.27,1,10.48,32.96,4,10.71,33.10
1,8.61,41.62,3,8.75,41.82,4,8.64,41.91,2,8.67,41.63,5,8.90,42.00
1,9.50,51.12,3,9.49,51.31,4,9.50,51.41,2,9.60,51.23,5,9.50,51.50
1,9.56,1:00.68,3,9.55,1:00.86,4,9.53,1:00.94,2,9.47,1:00.70,5,9.52,1:01.02
2,9.53,1:10.21,3,9.48,1:10.34,4,9.40,1:10.34,1,9.44,1:10.14,5,9.45,1:10.47
2,9.62,1:19.83,4,9.79,1:20.13,3,9.60,1:19.94,1,9.62,1:19.76,5,9.74,1:20.21
2,10.25,1:30.079,3,10.15,1:30.273,0,,PEN,1,9.88,1:29.639,4,11.19,1:31.394
