Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,Dawid RZEMIENIECKI POSITION,Dawid RZEMIENIECKI LAP TIME,Dawid RZEMIENIECKI ELAPSED TIME,YU Yongjun POSITION,YU Yongjun LAP TIME,YU Yongjun ELAPSED TIME,Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME,Kiril PANDOV POSITION,Kiril PANDOV LAP TIME,Kiril PANDOV ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME
3,8.29,8.29,4,8.41,8.41,1,8.18,8.18,2,8.18,8.18,6,8.77,8.77,5,8.62,8.62
4,11.29,19.58,2,10.97,19.38,1,11.19,19.37,3,11.27,19.45,6,11.07,19.84,5,11.09,19.71
4,10.62,30.20,1,10.47,29.85,2,10.60,29.97,3,10.66,30.11,6,10.62,30.46,5,10.61,30.32
4,10.89,41.09,1,10.88,40.73,2,10.89,40.86,3,10.85,40.96,6,10.87,41.33,5,10.89,41.21
4,10.65,51.74,2,10.77,51.50,3,10.77,51.63,1,10.41,51.37,6,10.74,52.07,5,10.70,51.91
4,10.06,1:01.80,3,10.19,1:01.69,2,9.94,1:01.57,1,10.09,1:01.46,6,9.96,1:02.03,5,9.90,1:01.81
5,9.68,1:11.48,4,9.68,1:11.37,2,9.60,1:11.17,1,9.62,1:11.08,6,9.65,1:11.68,3,9.44,1:11.25
5,9.59,1:21.07,4,9.51,1:20.88,2,9.44,1:20.61,1,9.51,1:20.59,6,9.57,1:21.25,3,9.50,1:20.75
5,9.43,1:30.50,4,9.49,1:30.37,1,9.46,1:30.07,2,9.57,1:30.16,6,9.52,1:30.77,3,9.52,1:30.27
5,9.79,1:40.29,4,9.74,1:40.11,1,9.72,1:39.79,2,9.73,1:39.89,6,9.65,1:40.42,3,9.74,1:40.01
5,9.85,1:50.14,4,9.88,1:49.99,1,9.90,1:49.69,2,9.90,1:49.79,6,10.01,1:50.43,3,9.89,1:49.90
5,10.00,2:00.14,4,9.97,1:59.96,1,9.98,1:59.67,2,9.91,1:59.70,6,10.37,2:00.80,3,9.96,1:59.86
5,10.01,2:10.15,4,9.97,2:09.93,2,9.88,2:09.55,1,9.62,2:09.32,6,11.12,2:11.92,3,9.82,2:09.68
5,10.34,2:20.490,4,9.98,2:19.901,2,10.16,2:19.701,1,9.82,2:19.135,6,11.86,2:23.775,3,10.12,2:19.798
