LIM Hyo Jun POSITION,LIM Hyo Jun LAP TIME,LIM Hyo Jun ELAPSED TIME,YOSHINAGA Kazuki POSITION,YOSHINAGA Kazuki LAP TIME,YOSHINAGA Kazuki ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,SEO Yi Ra POSITION,SEO Yi Ra LAP TIME,SEO Yi Ra ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME
4,8.94,8.94,6,9.12,9.12,3,8.82,8.82,1,8.65,8.65,2,8.71,8.71,7,9.31,9.31,5,8.99,8.99
6,12.51,21.45,7,12.48,21.60,4,12.39,21.21,1,12.32,20.97,5,12.52,21.23,2,11.67,20.98,3,12.10,21.09
6,10.93,32.38,7,10.89,32.49,4,10.96,32.17,2,11.00,31.97,5,10.99,32.22,1,10.87,31.85,3,10.97,32.06
6,9.75,42.13,7,9.73,42.22,4,9.85,42.02,3,9.99,41.96,1,9.51,41.73,2,10.01,41.86,5,9.99,42.05
3,9.24,51.37,6,9.35,51.57,4,9.45,51.47,5,9.59,51.55,2,9.52,51.25,1,9.33,51.19,7,9.61,51.66
1,9.01,1:00.38,4,9.14,1:00.71,5,9.35,1:00.82,6,9.35,1:00.90,3,9.36,1:00.61,2,9.31,1:00.50,7,9.35,1:01.01
3,9.34,1:09.72,4,9.17,1:09.88,5,9.14,1:09.96,6,9.16,1:10.06,1,9.06,1:09.67,2,9.20,1:09.70,7,9.17,1:10.18
4,9.40,1:19.12,3,9.18,1:19.06,5,9.24,1:19.20,6,9.20,1:19.26,1,9.22,1:18.89,2,9.27,1:18.97,7,9.20,1:19.38
2,9.29,1:28.41,4,9.61,1:28.67,5,9.48,1:28.68,6,9.56,1:28.82,1,9.51,1:28.40,3,9.59,1:28.56,7,9.54,1:28.92
1,9.07,1:37.48,7,9.37,1:38.04,4,9.08,1:37.76,5,9.02,1:37.84,2,9.15,1:37.55,3,9.09,1:37.65,6,9.00,1:37.92
1,9.23,1:46.71,7,9.28,1:47.32,4,9.14,1:46.90,5,9.21,1:47.05,2,9.24,1:46.79,3,9.24,1:46.89,6,9.22,1:47.14
1,9.17,1:55.88,7,9.11,1:56.43,3,9.07,1:55.97,5,9.13,1:56.18,2,9.17,1:55.96,6,9.42,1:56.31,4,8.97,1:56.11
1,9.22,2:05.10,7,9.27,2:05.70,1,9.13,2:05.10,5,9.19,2:05.37,3,9.27,2:05.23,6,9.18,2:05.49,4,9.14,2:05.25
2,,2:14.646,7,9.56,2:15.241,1,9.49,2:14.582,3,,2:14.649,6,9.69,2:14.910,5,9.34,2:14.814,4,9.51,2:14.749
