BULGARIA POSITION,BULGARIA LAP TIME,BULGARIA ELAPSED TIME,KOREA POSITION,KOREA LAP TIME,KOREA ELAPSED TIME,UNITED STATES POSITION,UNITED STATES LAP TIME,UNITED STATES ELAPSED TIME
3,12.654,12.654,2,12.507,12.507,1,12.463,12.463
2,9.436,22.089,1,9.518,22.024,3,9.700,22.163
1,9.486,31.575,3,9.639,31.663,2,9.434,31.596
2,9.736,41.310,1,8.963,40.625,3,9.833,41.429
3,9.884,51.194,1,9.505,50.130,2,9.614,51.042
3,9.728,1:00.921,1,9.233,59.362,2,9.750,1:00.792
3,9.368,1:10.288,1,9.514,1:08.876,2,9.337,1:10.129
3,9.309,1:19.597,1,9.443,1:18.318,2,9.326,1:19.454
3,9.598,1:29.194,1,9.636,1:27.954,2,9.544,1:28.997
2,9.409,1:38.602,1,9.483,1:37.437,3,9.969,1:38.965
3,9.986,1:48.588,1,9.541,1:46.977,2,9.533,1:48.498
3,9.678,1:58.266,1,9.540,1:56.516,2,9.538,1:58.036
2,9.221,2:07.487,1,9.319,2:05.835,3,9.635,2:07.670
3,9.780,2:17.266,1,9.583,2:15.417,2,9.378,2:17.048
3,9.748,2:27.013,1,9.441,2:24.857,2,9.732,2:26.780
3,10.004,2:37.017,1,9.604,2:34.461,2,9.962,2:36.741
3,9.638,2:46.655,1,9.571,2:44.031,2,9.446,2:46.187
3,9.655,2:56.310,1,9.474,2:53.505,2,9.982,2:56.168
3,9.632,3:05.942,1,9.632,3:03.137,2,9.608,3:05.776
3,9.446,3:15.388,1,9.617,3:12.754,2,9.375,3:15.151
3,9.874,3:25.261,1,9.654,3:22.408,2,9.678,3:24.828
3,10.099,3:35.359,1,9.754,3:32.161,2,10.117,3:34.945
3,9.826,3:45.184,1,9.824,3:41.985,2,9.613,3:44.558
3,9.663,3:54.846,1,9.495,3:51.480,2,9.819,3:54.377
3,9.517,4:04.363,1,9.932,4:01.411,2,9.795,4:04.171
3,9.439,4:13.801,1,9.771,4:11.182,2,9.367,4:13.538
3,9.83,4:23.629,1,9.93,4:21.104,2,9.64,4:23.179
