Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,Dan IWASA POSITION,Dan IWASA LAP TIME,Dan IWASA ELAPSED TIME,Armstrong LAZENBY POSITION,Armstrong LAZENBY LAP TIME,Armstrong LAZENBY ELAPSED TIME,PETRE Ward POSITION,PETRE Ward LAP TIME,PETRE Ward ELAPSED TIME
3,13.73,13.73,4,13.85,13.85,2,13.50,13.50,1,13.42,13.42
3,10.83,24.56,4,10.81,24.66,1,10.80,24.30,2,10.89,24.31
3,10.83,35.39,4,10.86,35.52,2,10.85,35.15,1,10.82,35.13
3,10.53,45.92,4,10.51,46.03,2,10.52,45.67,1,10.53,45.66
1,9.77,55.69,2,9.75,55.78,3,10.28,55.95,4,10.39,56.05
1,9.40,1:05.09,2,9.43,1:05.21,4,9.74,1:05.69,3,9.63,1:05.68
1,9.13,1:14.22,2,9.09,1:14.30,4,9.94,1:15.63,3,9.66,1:15.34
1,9.15,1:23.37,2,9.19,1:23.49,4,10.41,1:26.04,3,9.85,1:25.19
2,9.59,1:32.955,1,9.21,1:32.695,4,11.25,1:37.290,3,10.06,1:35.244
