Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,WANG Meng POSITION,WANG Meng LAP TIME,WANG Meng ELAPSED TIME,Sarah LINDSAY POSITION,Sarah LINDSAY LAP TIME,Sarah LINDSAY ELAPSED TIME,BYUN Chun-Sa POSITION,BYUN Chun-Sa LAP TIME,BYUN Chun-Sa ELAPSED TIME
2,7.269,7.269,1,7.114,7.114,3,7.363,7.363,4,7.780,7.780
3,9.695,16.963,1,9.433,16.547,2,9.547,16.910,4,9.550,17.329
3,9.118,26.080,1,9.362,25.908,2,9.134,26.043,4,9.108,26.437
4,9.916,35.996,1,9.634,35.542,2,9.722,35.764,3,9.547,35.983
4,10.03,46.017,1,9.94,45.481,3,9.93,45.688,2,9.52,45.498
