Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,J P KEPKA POSITION,J P KEPKA LAP TIME,J P KEPKA ELAPSED TIME,SUI Bao Ku POSITION,SUI Bao Ku LAP TIME,SUI Bao Ku ELAPSED TIME,Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME
1,12.460,12.460,3,12.880,12.880,2,12.780,12.780,4,13.040,13.040
1,9.930,22.400,3,9.730,22.610,2,9.620,22.410,4,10.070,23.110
1,10.030,32.430,2,10.030,32.650,3,10.380,32.790,4,9.790,32.910
1,9.600,42.030,2,9.560,42.210,3,9.570,42.360,4,9.510,42.420
1,9.370,51.410,2,9.490,51.710,3,9.470,51.840,4,9.500,51.930
1,9.460,1:00.870,2,9.160,1:00.870,3,9.290,1:01.130,4,9.310,1:01.250
1,9.140,1:10.020,2,9.220,1:10.090,4,9.510,1:10.640,3,9.020,1:10.270
4,9.950,1:19.970,2,9.300,1:19.400,3,9.100,1:19.750,1,8.990,1:19.270
4,10.480,1:30.450,3,9.570,1:28.980,1,9.120,1:28.880,2,9.610,1:28.890
