Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME,Alexander GERTSIKOV POSITION,Alexander GERTSIKOV LAP TIME,Alexander GERTSIKOV ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME
1,12.34,12.34,4,12.91,12.91,3,12.53,12.53,2,12.40,12.40
1,9.12,21.46,4,9.21,22.12,3,9.30,21.83,2,9.43,21.83
1,9.77,31.23,3,9.50,31.62,4,9.81,31.64,2,9.57,31.40
2,9.85,41.08,3,9.52,41.14,4,9.56,41.20,1,9.57,40.97
1,9.29,50.37,4,9.57,50.71,3,9.44,50.64,2,9.46,50.43
2,9.19,59.56,1,8.72,59.43,4,9.58,1:00.22,3,9.14,59.57
2,8.91,1:08.47,1,8.99,1:08.42,4,9.06,1:09.28,3,9.12,1:08.69
1,9.06,1:17.53,2,9.17,1:17.59,4,9.09,1:18.37,3,9.26,1:17.95
2,9.50,1:27.024,1,9.33,1:26.915,4,9.38,1:27.744,3,9.52,1:27.464
