Marc-Andre MONETTE POSITION,Marc-Andre MONETTE LAP TIME,Marc-Andre MONETTE ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,SUI Bao Ku POSITION,SUI Bao Ku LAP TIME,SUI Bao Ku ELAPSED TIME,Artur SULTANGALIYEV POSITION,Artur SULTANGALIYEV LAP TIME,Artur SULTANGALIYEV ELAPSED TIME
1,6.82,6.82,2,6.98,6.98,3,7.18,7.18,4,7.32,7.32
1,8.97,15.79,2,8.84,15.82,3,8.97,16.16,4,9.04,16.36
2,8.78,24.58,1,8.70,24.53,3,8.49,24.65,4,8.57,24.93
2,8.77,33.36,1,8.51,33.04,3,8.83,33.48,4,8.65,33.59
2,8.87,42.228,1,9.00,42.036,0,,DQ,3,8.74,42.325
