LEE Eun Byul POSITION,LEE Eun Byul LAP TIME,LEE Eun Byul ELAPSED TIME,Kim BOUTIN POSITION,Kim BOUTIN LAP TIME,Kim BOUTIN ELAPSED TIME,Emily SCOTT POSITION,Emily SCOTT LAP TIME,Emily SCOTT ELAPSED TIME,ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME
3,13.33,13.33,1,13.10,13.10,2,13.21,13.21,4,13.41,13.41
3,10.40,23.73,2,10.63,23.73,4,11.10,24.31,1,10.22,23.63
3,10.25,33.98,2,10.14,33.87,4,9.81,34.12,1,10.15,33.78
3,10.12,44.10,2,10.11,43.98,4,10.04,44.16,1,10.07,43.85
3,9.45,53.55,1,9.33,53.31,4,9.50,53.66,2,9.66,53.51
2,9.22,1:02.77,1,9.38,1:02.69,3,9.26,1:02.92,4,9.68,1:03.19
1,9.35,1:12.12,2,9.45,1:12.14,3,9.39,1:12.31,4,10.01,1:13.20
1,9.50,1:21.62,2,9.58,1:21.72,3,9.55,1:21.86,4,10.72,1:23.92
1,9.65,1:31.264,2,9.66,1:31.375,3,9.61,1:31.463,0,,PEN
