TIKHONOVA Olga POSITION,TIKHONOVA Olga LAP TIME,TIKHONOVA Olga ELAPSED TIME,Toko NANRI POSITION,Toko NANRI LAP TIME,Toko NANRI ELAPSED TIME,NOH Do Hee POSITION,NOH Do Hee LAP TIME,NOH Do Hee ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,TAO Jiaying POSITION,TAO Jiaying LAP TIME,TAO Jiaying ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,LIU Yang POSITION,LIU Yang LAP TIME,LIU Yang ELAPSED TIME,Audrey PHANEUF POSITION,Audrey PHANEUF LAP TIME,Audrey PHANEUF ELAPSED TIME
2,19.57,19.57,5,19.98,19.98,1,19.46,19.46,6,20.15,20.15,3,19.84,19.84,4,19.96,19.96,8,20.63,20.63,7,20.39,20.39
2,14.84,34.41,4,14.72,34.70,1,14.79,34.25,6,14.89,35.04,3,14.73,34.57,5,14.88,34.84,8,14.85,35.48,7,14.89,35.28
2,15.13,49.54,4,15.27,49.97,1,15.11,49.36,6,15.31,50.35,3,15.27,49.84,5,15.30,50.14,8,15.33,50.81,7,15.32,50.60
2,15.32,1:04.86,5,15.31,1:05.28,1,15.36,1:04.72,4,14.84,1:05.19,3,15.30,1:05.14,6,15.24,1:05.38,8,15.09,1:05.90,7,15.09,1:05.69
1,14.53,1:19.39,6,15.17,1:20.45,2,15.00,1:19.72,3,14.71,1:19.90,4,15.05,1:20.19,5,14.96,1:20.34,8,14.97,1:20.87,7,14.99,1:20.68
2,14.13,1:33.52,6,13.54,1:33.99,4,13.95,1:33.67,5,13.84,1:33.74,1,13.29,1:33.48,3,13.26,1:33.60,8,13.59,1:34.46,7,13.52,1:34.20
4,11.62,1:45.14,6,11.39,1:45.38,5,11.64,1:45.31,3,11.32,1:45.06,1,11.45,1:44.93,2,11.44,1:45.04,8,11.45,1:45.91,7,11.33,1:45.53
1,13.81,1:58.95,5,13.94,1:59.32,7,14.36,1:59.67,4,14.13,1:59.19,2,14.08,1:59.01,3,14.05,1:59.09,8,13.97,1:59.88,6,13.94,1:59.47
1,15.58,2:14.53,5,15.99,2:15.31,7,16.11,2:15.78,4,15.93,2:15.12,3,16.05,2:15.06,2,15.72,2:14.81,8,16.10,2:15.98,6,16.13,2:15.60
1,17.68,2:32.21,5,17.44,2:32.75,7,17.31,2:33.09,3,17.36,2:32.48,4,17.50,2:32.56,2,17.59,2:32.40,8,17.16,2:33.14,6,17.25,2:32.85
