de VRIES Rianne POSITION,de VRIES Rianne LAP TIME,de VRIES Rianne ELAPSED TIME,SARAULT Courtney Lee POSITION,SARAULT Courtney Lee LAP TIME,SARAULT Courtney Lee ELAPSED TIME,Iong A KIM POSITION,Iong A KIM LAP TIME,Iong A KIM ELAPSED TIME,YAKIMOVA Anna POSITION,YAKIMOVA Anna LAP TIME,YAKIMOVA Anna ELAPSED TIME,Lilia DZHUSTROVA POSITION,Lilia DZHUSTROVA LAP TIME,Lilia DZHUSTROVA ELAPSED TIME,WATANABE Aoi POSITION,WATANABE Aoi LAP TIME,WATANABE Aoi ELAPSED TIME
1,8.46,8.46,2,8.57,8.57,3,8.75,8.75,5,9.05,9.05,6,9.44,9.44,4,8.89,8.89
1,11.71,20.17,2,11.71,20.28,3,11.63,20.38,5,11.48,20.53,6,11.20,20.64,4,11.58,20.47
1,11.60,31.77,2,11.57,31.85,4,11.57,31.95,5,11.59,32.12,6,11.63,32.27,3,11.45,31.92
2,11.21,42.98,1,11.07,42.92,4,11.15,43.10,5,11.11,43.23,6,11.17,43.44,3,11.13,43.05
3,11.13,54.11,2,11.08,54.00,1,10.81,53.91,5,11.15,54.38,6,11.07,54.51,4,11.20,54.25
1,10.48,1:04.59,2,10.68,1:04.68,3,10.79,1:04.70,5,10.78,1:05.16,6,11.02,1:05.53,4,10.66,1:04.91
1,10.17,1:14.76,2,10.21,1:14.89,3,10.26,1:14.96,5,10.04,1:15.20,6,10.65,1:16.18,4,10.15,1:15.06
1,10.28,1:25.04,2,10.25,1:25.14,3,10.28,1:25.24,5,10.25,1:25.45,6,10.75,1:26.93,4,10.27,1:25.33
1,10.13,1:35.17,2,10.15,1:35.29,3,10.12,1:35.36,5,10.14,1:35.59,6,11.18,1:38.11,4,10.11,1:35.44
2,9.81,1:44.98,1,9.60,1:44.89,3,9.72,1:45.08,5,10.02,1:45.61,6,11.65,1:49.76,4,9.75,1:45.19
2,9.70,1:54.68,1,9.68,1:54.57,3,9.68,1:54.76,5,10.39,1:56.00,6,12.27,2:02.03,4,9.69,1:54.88
2,9.73,2:04.41,1,9.74,2:04.31,3,9.74,2:04.50,5,10.99,2:06.99,6,13.64,2:15.67,4,9.78,2:04.66
2,9.84,2:14.25,1,9.82,2:14.13,3,9.86,2:14.36,5,11.49,2:18.48,6,13.23,2:28.90,4,9.86,2:14.52
2,10.01,2:24.26,1,10.02,2:24.15,3,9.94,2:24.30,5,11.89,2:30.37,6,13.31,2:42.21,4,10.01,2:24.53
