SANTOS Kristen POSITION,SANTOS Kristen LAP TIME,SANTOS Kristen ELAPSED TIME,TIKHONOVA Olga POSITION,TIKHONOVA Olga LAP TIME,TIKHONOVA Olga ELAPSED TIME,Anna DAVYDENKO POSITION,Anna DAVYDENKO LAP TIME,Anna DAVYDENKO ELAPSED TIME,KIM Ji Yoo POSITION,KIM Ji Yoo LAP TIME,KIM Ji Yoo ELAPSED TIME
2,15.29,15.29,3,15.38,15.38,4,15.52,15.52,1,15.16,15.16
3,11.63,26.92,1,11.23,26.61,4,11.56,27.08,2,11.68,26.84
2,10.29,37.21,1,10.55,37.16,4,10.38,37.46,3,10.41,37.25
1,10.07,47.28,2,10.20,47.36,4,10.24,47.70,3,10.26,47.51
1,9.88,57.16,2,9.89,57.25,4,9.88,57.58,3,9.88,57.39
1,9.80,1:06.96,2,9.82,1:07.07,4,10.12,1:07.70,3,9.79,1:07.18
1,9.62,1:16.58,2,9.64,1:16.71,4,10.77,1:18.47,2,9.53,1:16.71
2,9.40,1:25.98,3,9.46,1:26.17,4,10.98,1:29.45,1,9.14,1:25.85
2,9.48,1:35.46,3,9.55,1:35.72,4,11.38,1:40.83,1,9.24,1:35.09
