Fabio CARTA POSITION,Fabio CARTA LAP TIME,Fabio CARTA ELAPSED TIME,KIM Hyun-Kon POSITION,KIM Hyun-Kon LAP TIME,KIM Hyun-Kon ELAPSED TIME,Mathieu TURCOTTE POSITION,Mathieu TURCOTTE LAP TIME,Mathieu TURCOTTE ELAPSED TIME,Thomas de WITTE POSITION,Thomas de WITTE LAP TIME,Thomas de WITTE ELAPSED TIME
1,13.350,13.350,4,16.984,16.984,3,13.643,13.643,2,13.569,13.569
1,9.738,23.088,3,6.187,23.171,4,9.654,23.297,2,9.524,23.092
1,9.430,32.517,3,9.440,32.611,2,9.234,32.531,4,9.521,32.613
3,9.274,41.790,1,9.073,41.683,4,9.268,41.799,2,9.130,41.743
3,9.295,51.085,1,9.199,50.881,2,9.262,51.060,4,9.503,51.246
3,9.296,1:00.381,1,9.206,1:00.086,2,9.315,1:00.375,4,9.891,1:01.137
2,9.469,1:09.850,1,9.477,1:09.563,3,9.544,1:09.919,4,10.114,1:11.250
3,9.282,1:19.131,1,9.315,1:18.877,2,9.168,1:19.086,4,10.636,1:21.885
2,9.79,1:28.921,1,9.61,1:28.481,0,,DQ,3,10.58,1:32.461
