John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,HANDEI Oleh POSITION,HANDEI Oleh LAP TIME,HANDEI Oleh ELAPSED TIME,Lucas NG POSITION,Lucas NG LAP TIME,Lucas NG ELAPSED TIME,Hazim SHAHRUM POSITION,Hazim SHAHRUM LAP TIME,Hazim SHAHRUM ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,NAVARRO Tristan POSITION,NAVARRO Tristan LAP TIME,NAVARRO Tristan ELAPSED TIME
5,11.31,11.31,1,10.48,10.48,2,10.65,10.65,3,10.88,10.88,4,11.07,11.07,6,11.52,11.52
5,14.78,26.09,1,15.08,25.56,2,15.07,25.72,3,14.93,25.81,4,14.87,25.94,6,14.75,26.27
5,14.13,40.22,1,13.99,39.55,2,13.97,39.69,3,13.96,39.77,4,14.00,39.94,6,14.10,40.37
5,13.08,53.30,1,13.19,52.74,2,13.06,52.75,3,12.99,52.76,4,12.99,52.93,6,13.08,53.45
4,11.18,1:04.48,3,11.67,1:04.41,2,11.59,1:04.34,1,11.39,1:04.15,5,11.61,1:04.54,6,11.13,1:04.58
1,9.96,1:14.44,3,10.21,1:14.62,5,10.43,1:14.77,4,10.56,1:14.71,6,10.27,1:14.81,2,9.95,1:14.53
1,10.21,1:24.65,3,10.20,1:24.82,6,10.23,1:25.00,4,10.21,1:24.92,5,10.12,1:24.93,2,10.23,1:24.76
1,9.96,1:34.61,3,9.96,1:34.78,4,9.88,1:34.88,5,10.15,1:35.07,6,10.22,1:35.15,2,9.95,1:34.71
1,9.78,1:44.39,3,9.78,1:44.56,4,9.80,1:44.68,6,10.09,1:45.16,5,9.61,1:44.76,2,9.77,1:44.48
1,9.55,1:53.94,3,9.56,1:54.12,5,9.69,1:54.37,6,10.17,1:55.33,4,9.53,1:54.29,2,9.62,1:54.10
1,9.16,2:03.10,3,9.22,2:03.34,5,9.69,2:04.06,6,10.36,2:05.69,4,9.19,2:03.48,2,9.12,2:03.22
1,9.02,2:12.12,3,9.28,2:12.62,5,9.94,2:14.00,6,10.63,2:16.32,4,9.27,2:12.75,2,9.01,2:12.23
1,9.00,2:21.12,3,9.53,2:22.15,5,10.40,2:24.40,6,10.98,2:27.30,4,9.46,2:22.21,2,9.04,2:21.27
1,9.25,2:30.355,3,9.90,2:32.040,5,10.77,2:35.162,6,11.22,2:38.498,4,10.20,2:32.388,2,9.30,2:30.549
