TREACY Niall POSITION,TREACY Niall LAP TIME,TREACY Niall ELAPSED TIME,Liam O'BRIEN POSITION,Liam O'BRIEN LAP TIME,Liam O'BRIEN ELAPSED TIME,Petko DAPCHEV POSITION,Petko DAPCHEV LAP TIME,Petko DAPCHEV ELAPSED TIME,Kan SOPONKIJ POSITION,Kan SOPONKIJ LAP TIME,Kan SOPONKIJ ELAPSED TIME,Cyprien VACHERON POSITION,Cyprien VACHERON LAP TIME,Cyprien VACHERON ELAPSED TIME
1,13.87,13.87,2,14.00,14.00,5,14.61,14.61,3,14.11,14.11,4,14.27,14.27
1,10.87,24.74,2,10.82,24.82,5,11.22,25.83,3,10.81,24.92,4,10.77,25.04
1,10.69,35.43,2,10.74,35.56,5,11.31,37.14,4,10.74,35.66,3,10.58,35.62
3,10.13,45.56,2,9.87,45.43,5,11.62,48.76,4,10.08,45.74,1,9.78,45.40
3,9.64,55.20,2,9.64,55.07,5,11.86,1:00.62,4,9.84,55.58,1,9.56,54.96
3,9.84,1:05.04,2,9.86,1:04.93,5,12.38,1:13.00,4,10.41,1:05.99,1,9.88,1:04.84
3,10.06,1:15.10,2,10.03,1:14.96,5,13.66,1:26.66,4,10.97,1:16.96,1,10.01,1:14.85
3,10.13,1:25.23,2,10.15,1:25.11,5,12.78,1:39.44,4,11.46,1:28.42,1,10.12,1:24.97
3,10.31,1:35.54,2,10.37,1:35.48,5,12.54,1:51.98,4,11.54,1:39.96,1,10.43,1:35.40
