SUI Bao Ku POSITION,SUI Bao Ku LAP TIME,SUI Bao Ku ELAPSED TIME,Gabor GALAMBOS POSITION,Gabor GALAMBOS LAP TIME,Gabor GALAMBOS ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Tyson HEUNG POSITION,Tyson HEUNG LAP TIME,Tyson HEUNG ELAPSED TIME
3,12.33,12.33,4,12.37,12.37,1,12.24,12.24,2,12.26,12.26
1,9.65,21.98,2,9.74,22.11,4,10.01,22.25,3,9.87,22.13
1,9.65,31.63,4,9.58,31.69,3,9.42,31.67,2,9.52,31.65
2,9.55,41.18,3,9.58,41.27,4,9.65,41.32,1,9.50,41.15
1,9.39,50.57,3,9.50,50.77,4,9.46,50.78,2,9.45,50.60
2,9.42,59.99,4,9.34,1:00.11,3,9.24,1:00.02,1,9.32,59.92
2,9.27,1:09.26,4,9.21,1:09.32,1,9.10,1:09.12,3,9.37,1:09.29
2,9.22,1:18.48,4,9.23,1:18.55,1,9.21,1:18.33,3,9.22,1:18.51
3,9.34,1:27.815,4,9.37,1:27.919,1,9.25,1:27.577,2,9.27,1:27.777
