JUNG Hyun Woo (Andy) POSITION,JUNG Hyun Woo (Andy) LAP TIME,JUNG Hyun Woo (Andy) ELAPSED TIME,Zachary BIGGS POSITION,Zachary BIGGS LAP TIME,Zachary BIGGS ELAPSED TIME,Ivan MOJSILOVIC POSITION,Ivan MOJSILOVIC LAP TIME,Ivan MOJSILOVIC ELAPSED TIME,de Vin WONG POSITION,de Vin WONG LAP TIME,de Vin WONG ELAPSED TIME
2,14.75,14.75,3,14.87,14.87,4,15.00,15.00,1,14.59,14.59
2,11.85,26.60,3,11.86,26.73,4,11.89,26.89,1,11.81,26.40
2,11.70,38.30,3,11.67,38.40,4,11.59,38.48,1,11.73,38.13
2,11.09,49.39,1,10.63,49.03,4,11.11,49.59,3,11.27,49.40
2,9.49,58.88,1,9.72,58.75,3,9.90,59.49,4,10.31,59.71
2,9.56,1:08.44,1,9.55,1:08.30,3,10.06,1:09.55,4,10.00,1:09.71
2,9.38,1:17.82,1,9.48,1:17.78,3,9.99,1:19.54,4,10.07,1:19.78
1,9.17,1:26.99,2,9.37,1:27.15,3,10.30,1:29.84,4,10.60,1:30.38
1,9.17,1:36.137,2,9.25,1:36.384,3,10.73,1:40.547,4,10.99,1:41.313
