David GOULET POSITION,David GOULET LAP TIME,David GOULET ELAPSED TIME,Eduard STRELKOV POSITION,Eduard STRELKOV LAP TIME,Eduard STRELKOV ELAPSED TIME,Kei SAITO POSITION,Kei SAITO LAP TIME,Kei SAITO ELAPSED TIME,Felix SPIEGL POSITION,Felix SPIEGL LAP TIME,Felix SPIEGL ELAPSED TIME,Alex VARNYU POSITION,Alex VARNYU LAP TIME,Alex VARNYU ELAPSED TIME
2,7.12,7.12,1,6.93,6.93,3,7.17,7.17,4,7.33,7.33,5,7.60,7.60
2,9.14,16.26,1,9.18,16.11,3,9.16,16.33,4,9.19,16.52,5,9.31,16.91
2,8.85,25.11,1,8.87,24.98,3,8.81,25.14,4,8.93,25.45,5,9.04,25.95
3,9.23,34.34,1,9.12,34.10,2,9.12,34.26,4,9.23,34.68,5,9.19,35.14
3,9.32,43.658,1,9.36,43.452,2,9.32,43.575,4,9.69,44.362,5,9.53,44.670
