Artur SULTANGALIYEV POSITION,Artur SULTANGALIYEV LAP TIME,Artur SULTANGALIYEV ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Nicolas BEAN POSITION,Nicolas BEAN LAP TIME,Nicolas BEAN ELAPSED TIME,Viktor KOROLOV POSITION,Viktor KOROLOV LAP TIME,Viktor KOROLOV ELAPSED TIME
1,13.27,13.27,3,13.40,13.40,4,13.55,13.55,2,13.37,13.37
3,10.45,23.73,2,10.32,23.72,1,10.07,23.62,4,10.39,23.77
4,10.16,33.90,1,9.96,33.69,2,10.16,33.78,3,10.10,33.88
3,9.76,43.66,1,9.60,43.29,4,9.88,43.67,2,9.76,43.64
2,9.79,53.45,1,9.86,53.15,3,9.78,53.46,4,10.07,53.71
3,9.65,1:03.11,1,9.76,1:02.92,2,9.62,1:03.08,4,9.55,1:03.27
3,9.57,1:12.69,1,9.61,1:12.53,2,9.56,1:12.64,4,9.87,1:13.14
2,9.66,1:22.35,1,9.51,1:22.05,3,9.78,1:22.43,4,9.57,1:22.71
0,,DQ,1,9.99,1:32.038,2,9.66,1:32.086,3,9.99,1:32.692
