WOLFGANG Matthias POSITION,WOLFGANG Matthias LAP TIME,WOLFGANG Matthias ELAPSED TIME,KIM Do Kyoum POSITION,KIM Do Kyoum LAP TIME,KIM Do Kyoum ELAPSED TIME,Tunay SIMSEK POSITION,Tunay SIMSEK LAP TIME,Tunay SIMSEK ELAPSED TIME,Nicolas LABORDE POSITION,Nicolas LABORDE LAP TIME,Nicolas LABORDE ELAPSED TIME,John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME
3,7.80,7.80,1,6.85,6.85,4,8.39,8.39,5,8.45,8.45,2,7.05,7.05
3,9.73,17.53,1,8.74,15.59,5,9.85,18.24,4,9.59,18.04,2,8.79,15.84
3,9.49,27.02,1,8.50,24.09,5,8.89,27.13,4,9.04,27.08,2,8.33,24.17
5,9.80,36.82,1,8.66,32.75,3,9.26,36.39,4,9.40,36.48,2,8.66,32.83
5,9.76,46.583,0,8.97,41.72,3,9.44,45.830,4,9.57,46.057,0,8.92,41.75
