FRANCE POSITION,FRANCE LAP TIME,FRANCE ELAPSED TIME,ITALY POSITION,ITALY LAP TIME,ITALY ELAPSED TIME,UKRAINE POSITION,UKRAINE LAP TIME,UKRAINE ELAPSED TIME
0,11.868,11.868,0,12.244,12.244,0,12.271,12.271
0,9.172,21.039,0,9.092,21.337,0,9.149,21.420
0,9.018,30.058,0,9.011,30.348,0,9.155,30.575
0,9.042,39.100,0,9.566,39.914,0,9.372,39.947
0,9.742,48.841,0,10.761,50.674,0,9.432,49.379
0,8.956,57.797,0,7.289,57.963,0,9.296,58.675
0,9.302,1:07.099,0,9.679,1:07.642,0,9.537,1:08.212
0,9.210,1:16.308,0,9.318,1:16.959,0,9.455,1:17.668
0,7.593,1:23.901,0,9.367,1:26.327,0,9.829,1:27.497
0,11.060,1:34.961,0,9.393,1:35.719,0,9.698,1:37.194
0,9.184,1:44.145,0,9.460,1:45.180,0,9.728,1:46.922
0,9.288,1:53.433,0,9.387,1:54.566,0,9.914,1:56.836
0,9.486,2:02.918,0,9.541,2:04.107,0,9.688,2:06.524
0,9.492,2:12.410,0,9.688,2:13.795,0,9.793,2:16.317
0,9.584,2:21.995,0,9.538,2:23.332,0,9.629,2:25.945
0,9.470,2:31.465,0,10.017,2:33.349,0,9.863,2:35.808
0,9.182,2:40.647,0,9.481,2:42.830,0,9.905,2:45.713
0,,,0,,,0,,
