Billy SIMMS POSITION,Billy SIMMS LAP TIME,Billy SIMMS ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME,Paul BEAUCHAMP POSITION,Paul BEAUCHAMP LAP TIME,Paul BEAUCHAMP ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME
2,10.02,10.02,6,10.45,10.45,4,10.34,10.34,3,10.16,10.16,5,10.42,10.42,1,9.85,9.85
2,14.09,24.11,6,14.20,24.65,4,14.08,24.42,3,14.16,24.32,5,14.14,24.56,1,14.05,23.90
2,13.39,37.50,6,13.34,37.99,4,13.36,37.78,3,13.35,37.67,5,13.36,37.92,1,13.41,37.31
2,13.36,50.86,4,13.04,51.03,5,13.41,51.19,3,13.35,51.02,6,13.41,51.33,1,13.42,50.73
3,11.75,1:02.61,1,11.37,1:02.40,5,11.52,1:02.71,4,11.62,1:02.64,6,11.64,1:02.97,2,11.79,1:02.52
4,10.66,1:13.27,2,10.72,1:13.12,1,10.24,1:12.95,5,10.81,1:13.45,6,10.60,1:13.57,3,10.65,1:13.17
3,10.19,1:23.46,2,10.20,1:23.32,1,10.33,1:23.28,5,10.20,1:23.65,6,10.10,1:23.67,4,10.35,1:23.52
4,9.90,1:33.36,1,9.79,1:33.11,2,9.96,1:33.24,5,9.89,1:33.54,6,10.46,1:34.13,3,9.72,1:33.24
4,9.47,1:42.83,1,9.46,1:42.57,3,9.46,1:42.70,5,9.46,1:43.00,6,9.11,1:43.24,2,9.44,1:42.68
4,9.15,1:51.98,2,9.21,1:51.78,3,9.19,1:51.89,5,9.05,1:52.05,6,9.08,1:52.32,1,9.04,1:51.72
5,9.29,2:01.27,2,9.24,2:01.02,3,9.20,2:01.09,4,9.07,2:01.12,6,9.50,2:01.82,1,9.16,2:00.88
5,9.35,2:10.62,3,9.09,2:10.11,1,8.97,2:10.06,4,9.32,2:10.44,6,10.09,2:11.91,2,9.22,2:10.10
4,9.56,2:20.18,5,10.43,2:20.54,1,9.43,2:19.49,3,9.24,2:19.68,6,10.78,2:22.69,2,9.52,2:19.62
3,10.07,2:30.241,4,10.38,2:30.916,1,9.61,2:29.100,2,9.49,2:29.163,5,11.61,2:34.293,0,,PEN
