YU Jiyang POSITION,YU Jiyang LAP TIME,YU Jiyang ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,WILCZYK Szymon POSITION,WILCZYK Szymon LAP TIME,WILCZYK Szymon ELAPSED TIME,Necmettin Berk YETISKEN POSITION,Necmettin Berk YETISKEN LAP TIME,Necmettin Berk YETISKEN ELAPSED TIME,Mark PRINSEN POSITION,Mark PRINSEN LAP TIME,Mark PRINSEN ELAPSED TIME
4,10.21,10.21,6,10.48,10.48,2,10.09,10.09,5,10.37,10.37,1,9.98,9.98,3,10.17,10.17
3,14.82,25.03,6,14.95,25.43,2,14.84,24.93,4,14.76,25.13,1,14.76,24.74,5,15.08,25.25
3,12.47,37.50,5,12.26,37.69,2,12.46,37.39,4,12.48,37.61,1,12.51,37.25,6,12.52,37.77
4,12.27,49.77,2,11.97,49.66,1,12.21,49.60,5,12.30,49.91,3,12.42,49.67,6,12.17,49.94
4,10.76,1:00.53,1,10.73,1:00.39,3,10.88,1:00.48,6,10.74,1:00.65,5,10.89,1:00.56,2,10.50,1:00.44
2,9.80,1:10.33,3,10.05,1:10.44,4,10.09,1:10.57,5,9.99,1:10.64,6,10.09,1:10.65,1,9.87,1:10.31
1,9.95,1:20.28,2,9.86,1:20.30,4,9.92,1:20.49,5,9.96,1:20.60,6,10.08,1:20.73,3,10.05,1:20.36
2,9.66,1:29.94,1,9.53,1:29.83,4,9.70,1:30.19,5,9.71,1:30.31,6,9.68,1:30.41,3,9.64,1:30.00
2,9.59,1:39.53,1,9.60,1:39.43,4,9.53,1:39.72,5,9.52,1:39.83,6,9.52,1:39.93,3,9.56,1:39.56
2,9.59,1:49.12,1,9.43,1:48.86,3,9.49,1:49.21,4,9.46,1:49.29,5,9.54,1:49.47,6,14.97,1:54.53
3,9.27,1:58.39,1,9.33,1:58.19,2,9.00,1:58.21,4,9.26,1:58.55,5,9.34,1:58.81,6,14.27,2:08.80
3,9.18,2:07.57,2,8.99,2:07.18,1,8.90,2:07.11,4,9.13,2:07.68,5,9.27,2:08.08,6,10.81,2:19.61
3,9.39,2:16.96,1,8.85,2:16.03,2,9.07,2:16.18,4,9.44,2:17.12,5,9.43,2:17.51,6,10.72,2:30.33
0,,PEN,1,9.13,2:25.154,2,9.07,2:25.241,3,9.45,2:26.562,4,9.76,2:27.264,5,11.01,2:41.331
