Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME,Janis PIUSS POSITION,Janis PIUSS LAP TIME,Janis PIUSS ELAPSED TIME,OLAH Bence POSITION,OLAH Bence LAP TIME,OLAH Bence ELAPSED TIME
1,7.16,7.16,4,7.43,7.43,2,7.32,7.32,3,7.39,7.39
1,9.08,16.24,3,9.28,16.71,2,9.34,16.66,4,9.43,16.82
1,8.67,24.91,2,8.92,25.63,3,9.13,25.79,4,9.06,25.88
1,8.83,33.74,2,9.11,34.74,4,9.34,35.13,3,9.08,34.96
4,20.71,54.446,1,9.24,43.973,3,9.31,44.432,2,9.10,44.055
