HONG Kyung Hwan POSITION,HONG Kyung Hwan LAP TIME,HONG Kyung Hwan ELAPSED TIME,IVLIEV Konstantin POSITION,IVLIEV Konstantin LAP TIME,IVLIEV Konstantin ELAPSED TIME,Luca SPECHENHAUSER POSITION,Luca SPECHENHAUSER LAP TIME,Luca SPECHENHAUSER ELAPSED TIME,Cyprien VACHERON POSITION,Cyprien VACHERON LAP TIME,Cyprien VACHERON ELAPSED TIME,Joshua KAH POSITION,Joshua KAH LAP TIME,Joshua KAH ELAPSED TIME
2,6.99,6.99,1,6.74,6.74,5,7.48,7.48,3,7.12,7.12,4,7.35,7.35
2,8.78,15.77,1,8.97,15.71,5,9.41,16.89,3,8.97,16.09,4,9.09,16.44
1,8.49,24.26,2,8.58,24.29,5,8.86,25.75,3,8.65,24.74,4,8.80,25.24
1,8.76,33.02,2,8.94,33.23,5,9.06,34.81,3,8.81,33.55,4,8.96,34.20
1,8.98,42.00,2,9.12,42.35,5,9.54,44.337,3,9.00,42.55,4,9.20,43.391
