AN Kai POSITION,AN Kai LAP TIME,AN Kai ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,Vincent JEANNE POSITION,Vincent JEANNE LAP TIME,Vincent JEANNE ELAPSED TIME
2,13.05,,1,12.95,12.95,3,13.22,13.22,4,13.34,13.34
2,10.10,,4,10.53,23.48,1,9.90,23.12,3,9.96,23.30
1,9.63,,4,9.67,33.15,3,9.83,32.95,2,9.64,32.94
1,9.42,,4,9.39,42.54,3,9.43,42.38,2,9.35,42.29
2,9.35,,4,9.25,51.79,1,8.98,51.36,3,9.39,51.68
2,8.99,,4,9.00,1:00.79,1,9.08,1:00.44,3,8.98,1:00.66
1,9.00,,4,9.00,1:09.79,2,9.14,1:09.58,3,9.04,1:09.70
1,9.15,,4,9.26,1:19.05,2,9.27,1:18.85,3,9.20,1:18.90
1,9.17,,3,9.10,1:28.131,2,9.11,1:27.942,1,8.99,1:27.884
