Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,LIU Fu-Ten POSITION,LIU Fu-Ten LAP TIME,LIU Fu-Ten ELAPSED TIME,Hyo-Jung KIM POSITION,Hyo-Jung KIM LAP TIME,Hyo-Jung KIM ELAPSED TIME,YANG A Yang POSITION,YANG A Yang LAP TIME,YANG A Yang ELAPSED TIME,Tania VICENT POSITION,Tania VICENT LAP TIME,Tania VICENT ELAPSED TIME,Joanna WILLIAMS POSITION,Joanna WILLIAMS LAP TIME,Joanna WILLIAMS ELAPSED TIME
1,8.537,8.537,6,9.420,9.420,4,8.728,8.728,2,8.666,8.666,5,8.857,8.857,3,8.669,8.669
1,11.338,19.875,6,12.777,22.197,2,11.221,19.949,3,11.339,20.005,5,11.342,20.199,4,11.429,20.098
3,11.513,31.387,6,12.540,34.736,1,11.305,31.253,2,11.260,31.264,5,11.417,31.616,4,11.317,31.414
2,11.095,42.482,6,12.790,47.525,1,11.223,42.476,3,11.316,42.580,5,11.157,42.772,4,11.342,42.756
1,11.282,53.764,6,12.957,1:00.482,3,11.433,53.909,2,11.312,53.891,4,11.215,53.986,5,11.375,54.131
2,11.595,1:05.358,6,13.637,1:14.119,3,11.566,1:05.474,1,11.466,1:05.356,4,11.556,1:05.542,5,11.460,1:05.590
3,10.805,1:16.162,6,14.946,1:29.065,2,10.605,1:16.078,5,11.087,1:16.443,1,10.469,1:16.011,4,10.674,1:16.263
5,10.267,1:26.429,6,13.337,1:42.401,2,9.998,1:26.075,1,9.558,1:26.001,3,10.349,1:26.359,4,10.147,1:26.410
4,9.913,1:36.342,6,15.824,1:58.225,2,9.822,1:35.897,1,9.804,1:35.804,3,9.650,1:36.009,5,10.036,1:36.445
5,10.696,1:47.038,6,13.986,2:12.211,2,9.931,1:45.828,1,10.002,1:45.806,3,9.988,1:45.997,4,10.094,1:46.539
5,11.493,1:58.531,6,15.029,2:27.239,2,10.121,1:55.948,1,9.980,1:55.786,3,10.088,1:56.084,4,10.426,1:56.964
5,12.298,2:10.828,6,13.831,2:41.069,2,9.931,2:05.878,1,9.902,2:05.687,3,10.115,2:06.199,4,10.633,2:07.597
5,12.974,2:23.801,6,13.570,2:54.639,2,10.065,2:15.943,1,10.061,2:15.748,3,10.039,2:16.238,4,11.309,2:18.906
5,13.62,2:37.415,6,13.53,3:08.162,2,10.38,2:26.318,1,10.46,2:26.199,3,10.58,2:26.813,4,12.20,2:31.106
