Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME
2,7.02,7.02,1,6.69,6.69,4,7.24,7.24,3,7.16,7.16
2,8.94,15.96,1,8.66,15.35,4,8.93,16.17,3,8.92,16.08
3,8.54,24.50,1,8.36,23.71,4,8.46,24.63,2,8.31,24.39
3,8.59,33.09,1,8.57,32.28,4,8.54,33.17,2,8.55,32.94
3,8.75,41.836,1,8.83,41.110,4,8.91,42.071,2,8.70,41.636
