YU Yongjun POSITION,YU Yongjun LAP TIME,YU Yongjun ELAPSED TIME,Jan-Ebele van der REE POSITION,Jan-Ebele van der REE LAP TIME,Jan-Ebele van der REE ELAPSED TIME,Michael GILDAY POSITION,Michael GILDAY LAP TIME,Michael GILDAY ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Yuma SAKURAI POSITION,Yuma SAKURAI LAP TIME,Yuma SAKURAI ELAPSED TIME,NOH Jinkyu POSITION,NOH Jinkyu LAP TIME,NOH Jinkyu ELAPSED TIME
4,9.29,9.29,3,9.16,9.16,5,9.56,9.56,2,9.16,9.16,1,8.92,8.92,6,9.83,9.83
4,12.97,22.26,2,12.86,22.02,5,12.91,22.47,3,12.98,22.14,1,12.97,21.89,6,12.77,22.60
4,12.01,34.27,3,12.10,34.12,5,12.11,34.58,1,11.75,33.89,2,12.14,34.03,6,12.11,34.71
4,10.01,44.28,1,9.90,44.02,5,9.91,44.49,3,10.25,44.14,2,10.03,44.06,6,9.89,44.60
4,10.55,54.83,1,10.46,54.48,5,10.58,55.07,3,10.56,54.70,2,10.54,54.60,6,10.59,55.19
4,10.28,1:05.11,2,10.40,1:04.88,5,10.20,1:05.27,1,10.05,1:04.75,3,10.39,1:04.99,6,10.19,1:05.38
2,9.57,1:14.68,5,9.94,1:14.82,6,9.75,1:15.02,1,9.85,1:14.60,4,9.76,1:14.75,3,9.31,1:14.69
2,9.48,1:24.16,3,9.45,1:24.27,6,9.56,1:24.58,1,9.46,1:24.06,5,9.73,1:24.48,4,9.63,1:24.32
3,9.86,1:34.02,4,9.92,1:34.19,6,9.82,1:34.40,2,9.88,1:33.94,5,9.77,1:34.25,1,9.61,1:33.93
6,19.58,1:53.60,4,9.27,1:43.46,3,8.91,1:43.31,5,9.52,1:43.46,2,8.95,1:43.20,1,8.68,1:42.61
6,14.00,2:07.60,5,10.04,1:53.50,3,9.36,1:52.67,4,10.01,1:53.47,2,9.39,1:52.59,1,9.51,1:52.12
6,11.02,2:18.62,4,10.14,2:03.64,5,17.44,2:10.11,3,9.67,2:03.14,2,9.77,2:02.36,1,9.13,2:01.25
6,10.91,2:29.53,4,10.30,2:13.94,5,14.26,2:24.37,3,9.89,2:13.03,2,9.97,2:12.33,1,9.71,2:10.96
0,,PEN,4,10.88,2:24.819,0,,PEN,3,10.48,2:23.508,2,10.21,2:22.533,1,10.80,2:21.754
