HAN Yu Tong POSITION,HAN Yu Tong LAP TIME,HAN Yu Tong ELAPSED TIME,Kim BOUTIN POSITION,Kim BOUTIN LAP TIME,Kim BOUTIN ELAPSED TIME,Yuna KOIKE POSITION,Yuna KOIKE LAP TIME,Yuna KOIKE ELAPSED TIME,Tamara FREDERICK POSITION,Tamara FREDERICK LAP TIME,Tamara FREDERICK ELAPSED TIME
2,13.26,13.26,1,13.12,13.12,3,13.35,13.35,4,13.49,13.49
2,10.70,23.96,1,10.73,23.85,4,10.82,24.17,3,10.55,24.04
2,10.89,34.85,1,10.89,34.74,4,10.92,35.09,3,10.92,34.96
2,10.72,45.57,1,10.73,45.47,4,10.78,45.87,3,10.77,45.73
1,10.26,55.83,2,10.37,55.84,4,10.31,56.18,3,10.40,56.13
1,9.62,1:05.45,2,9.74,1:05.58,3,9.66,1:05.84,4,10.20,1:06.33
1,9.88,1:15.33,2,9.82,1:15.40,3,9.69,1:15.53,4,10.42,1:16.75
1,9.87,1:25.20,2,9.92,1:25.32,3,9.88,1:25.41,4,11.01,1:27.76
1,9.79,1:34.989,2,10.03,1:35.348,3,10.07,1:35.479,4,11.65,1:39.409
