Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,CHOI Jung-Won POSITION,CHOI Jung-Won LAP TIME,CHOI Jung-Won ELAPSED TIME,FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME,Kasandra BRADETTE POSITION,Kasandra BRADETTE LAP TIME,Kasandra BRADETTE ELAPSED TIME
2,13.54,13.54,3,13.63,13.63,1,13.46,13.46,4,13.64,13.64
3,10.17,23.71,4,10.18,23.81,2,10.10,23.56,1,9.80,23.44
3,9.96,33.67,4,10.02,33.83,2,10.01,33.57,1,10.12,33.56
2,9.97,43.64,4,10.00,43.83,1,9.97,43.54,3,10.16,43.72
1,9.81,53.45,4,10.00,53.83,2,10.02,53.56,3,9.91,53.63
1,9.58,1:03.03,4,9.62,1:03.45,2,9.58,1:03.14,3,9.65,1:03.28
1,9.62,1:12.65,4,9.52,1:12.97,2,9.61,1:12.75,3,9.57,1:12.85
1,9.81,1:22.46,4,9.87,1:22.84,2,9.84,1:22.59,3,9.88,1:22.73
1,10.13,1:32.583,4,10.27,1:33.101,2,10.09,1:32.675,3,10.17,1:32.895
