LEE So Youn POSITION,LEE So Youn LAP TIME,LEE So Youn ELAPSED TIME,KAMINAGA Shione POSITION,KAMINAGA Shione LAP TIME,KAMINAGA Shione ELAPSED TIME,KIM Ye Jin POSITION,KIM Ye Jin LAP TIME,KIM Ye Jin ELAPSED TIME,MASCITTO Cynthia POSITION,MASCITTO Cynthia LAP TIME,MASCITTO Cynthia ELAPSED TIME,AHN Se Jung POSITION,AHN Se Jung LAP TIME,AHN Se Jung ELAPSED TIME
1,13.71,,3,13.86,13.86,2,13.73,13.73,4,13.97,13.97,5,14.11,
1,10.65,,3,10.72,24.58,2,10.75,24.48,4,10.73,24.70,5,10.73,
1,10.82,,3,10.79,35.37,2,10.78,35.26,4,10.79,35.49,5,10.82,
1,10.85,,3,10.80,46.17,2,10.83,46.09,4,10.77,46.26,4,10.60,
2,10.37,,4,10.39,56.56,3,10.32,56.41,5,10.42,56.68,1,10.04,
4,30.72,,2,10.05,1:06.61,5,43.18,1:39.59,3,10.07,1:06.75,1,10.28,
4,21.96,,1,9.61,1:16.22,5,20.73,2:00.32,3,9.80,1:16.55,2,9.88,
4,15.39,,1,9.78,1:26.00,5,17.94,2:18.26,3,9.78,1:26.33,2,9.82,
4,14.55,,1,10.04,1:36.04,5,16.79,2:35.05,2,9.86,1:36.19,3,9.94,
