Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,THOMSON Kathryn POSITION,THOMSON Kathryn LAP TIME,THOMSON Kathryn ELAPSED TIME,Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME
2,13.81,13.81,4,14.07,14.07,1,13.64,13.64,3,13.97,13.97
3,10.69,24.50,1,10.21,24.28,2,10.68,24.32,4,10.64,24.61
3,9.82,34.32,2,9.96,34.24,1,9.90,34.22,4,9.82,34.43
4,9.63,43.95,2,9.54,43.78,1,9.45,43.67,3,9.45,43.88
4,9.47,53.42,2,9.44,53.22,1,9.43,53.10,3,9.44,53.32
4,9.28,1:02.70,3,9.44,1:02.66,2,9.37,1:02.47,1,9.13,1:02.45
3,9.23,1:11.93,4,9.48,1:12.14,2,9.31,1:11.78,1,9.24,1:11.69
3,9.36,1:21.29,4,9.80,1:21.94,2,9.44,1:21.22,1,9.44,1:21.13
3,10.36,1:31.65,4,10.21,1:32.15,2,9.55,1:30.77,1,9.54,1:30.67
