TSAI Ping-Yuan POSITION,TSAI Ping-Yuan LAP TIME,TSAI Ping-Yuan ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME
1,12.55,12.55,2,12.59,12.59,3,12.91,12.91,4,12.97,12.97
1,10.05,22.60,2,10.03,22.62,3,9.87,22.78,4,9.88,22.85
2,10.07,32.67,3,10.09,32.71,1,9.86,32.64,4,9.94,32.79
3,9.77,42.44,4,9.80,42.51,1,9.65,42.29,2,9.64,42.43
3,9.63,52.07,4,9.60,52.11,1,9.55,51.84,2,9.47,51.90
4,9.91,1:01.98,2,9.32,1:01.43,1,9.55,1:01.39,3,9.57,1:01.47
4,10.30,1:12.28,3,9.53,1:10.96,2,9.46,1:10.85,1,9.21,1:10.68
4,10.61,1:22.89,3,9.79,1:20.75,2,9.77,1:20.62,1,9.75,1:20.43
3,10.80,1:33.685,2,9.65,1:30.397,0,,DQ,1,9.81,1:30.241
