Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME,Jessica HEWITT POSITION,Jessica HEWITT LAP TIME,Jessica HEWITT ELAPSED TIME,ZHANG Hui POSITION,ZHANG Hui LAP TIME,ZHANG Hui ELAPSED TIME,Aika KLEIN POSITION,Aika KLEIN LAP TIME,Aika KLEIN ELAPSED TIME,Alix-Myra ANDERSON POSITION,Alix-Myra ANDERSON LAP TIME,Alix-Myra ANDERSON ELAPSED TIME
4,8.53,8.53,3,8.39,8.39,2,8.31,8.31,5,8.65,8.65,1,8.28,8.28,6,8.85,8.85
5,11.76,20.29,2,11.65,20.04,4,11.78,20.10,3,11.43,20.08,1,11.56,19.84,6,11.53,20.39
5,12.36,32.65,2,12.36,32.41,3,12.35,32.45,4,12.41,32.50,1,12.37,32.21,6,12.33,32.72
4,11.49,44.14,2,11.46,43.88,5,11.76,44.21,3,11.60,44.10,1,11.59,43.81,6,11.71,44.44
5,11.44,55.59,3,11.44,55.32,4,11.17,55.39,1,11.11,55.22,2,11.45,55.26,6,11.19,55.63
3,10.19,1:05.78,2,10.44,1:05.77,5,10.54,1:05.94,1,10.30,1:05.53,4,10.54,1:05.81,6,10.46,1:06.09
4,10.60,1:16.39,2,10.37,1:16.15,5,10.52,1:16.47,1,10.57,1:16.10,3,10.58,1:16.39,6,10.48,1:16.57
3,10.54,1:26.93,2,10.66,1:26.81,4,10.51,1:26.98,1,10.55,1:26.66,5,10.69,1:27.09,6,10.55,1:27.12
6,10.50,1:37.43,2,10.09,1:36.90,3,9.92,1:36.90,1,10.17,1:36.83,4,9.96,1:37.06,5,10.17,1:37.30
6,31.74,2:09.17,3,10.42,1:47.32,2,10.33,1:47.23,5,24.98,2:01.82,1,10.15,1:47.21,4,10.08,1:47.39
6,13.94,2:23.12,2,9.81,1:57.14,1,9.69,1:56.93,5,12.19,2:14.02,4,10.35,1:57.56,3,10.12,1:57.52
6,12.17,2:35.30,2,9.99,2:07.13,1,9.95,2:06.88,5,11.57,2:25.59,4,10.23,2:07.80,3,9.76,2:07.28
6,11.46,2:46.76,2,10.06,2:17.20,1,10.12,2:17.00,5,11.59,2:37.18,4,10.54,2:18.34,3,10.12,2:17.40
6,11.53,2:58.289,2,10.13,2:27.324,1,10.26,2:27.258,5,11.64,2:48.815,4,11.79,2:30.124,3,10.24,2:27.637
