Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,Anja CHONG POSITION,Anja CHONG LAP TIME,Anja CHONG ELAPSED TIME,KONSTANTINOVA Ekaterina POSITION,KONSTANTINOVA Ekaterina LAP TIME,KONSTANTINOVA Ekaterina ELAPSED TIME,Selma POUTSMA POSITION,Selma POUTSMA LAP TIME,Selma POUTSMA ELAPSED TIME
3,13.64,13.64,4,13.89,13.89,2,13.50,13.50,1,13.42,13.42
3,10.50,24.14,4,10.42,24.31,2,10.54,24.04,1,10.54,23.96
3,10.34,34.48,4,10.36,34.67,2,10.37,34.41,1,10.38,34.34
1,9.61,44.09,4,10.35,45.02,2,9.82,44.23,3,10.05,44.39
1,9.49,53.58,4,10.16,55.18,2,9.44,53.67,3,9.44,53.83
2,9.59,1:03.17,4,10.48,1:05.66,1,9.40,1:03.07,3,9.52,1:03.35
2,9.43,1:12.60,4,11.06,1:16.72,1,9.43,1:12.50,3,9.56,1:12.91
1,9.34,1:21.94,4,11.59,1:28.31,2,9.62,1:22.12,3,9.89,1:22.80
1,9.55,1:31.49,4,11.85,1:40.16,2,9.55,1:31.67,3,10.78,1:33.58
