PENCHEVA Zornica POSITION,PENCHEVA Zornica LAP TIME,PENCHEVA Zornica ELAPSED TIME,HAN Yu Tong POSITION,HAN Yu Tong LAP TIME,HAN Yu Tong ELAPSED TIME,Patrycja MALISZEWSKA POSITION,Patrycja MALISZEWSKA LAP TIME,Patrycja MALISZEWSKA ELAPSED TIME,KIM Alang POSITION,KIM Alang LAP TIME,KIM Alang ELAPSED TIME,KAMINAGA Shione POSITION,KAMINAGA Shione LAP TIME,KAMINAGA Shione ELAPSED TIME
2,10.68,10.68,4,11.19,11.19,5,11.38,11.38,3,10.88,10.88,1,10.51,10.51
2,15.53,26.21,4,15.39,26.58,5,15.38,26.76,3,15.56,26.44,1,15.53,26.04
2,14.10,40.31,4,14.06,40.64,5,14.03,40.79,3,14.09,40.53,1,14.13,40.17
2,13.75,54.06,4,13.72,54.36,5,13.69,54.48,3,13.74,54.27,1,13.72,53.89
2,13.46,1:07.52,4,13.48,1:07.84,5,13.47,1:07.95,3,13.48,1:07.75,1,13.46,1:07.35
4,11.97,1:19.49,2,11.47,1:19.31,3,11.51,1:19.46,5,11.87,1:19.62,1,11.81,1:19.16
4,10.32,1:29.81,2,10.28,1:29.59,3,10.25,1:29.71,5,10.40,1:30.02,1,10.35,1:29.51
5,10.38,1:40.19,3,10.29,1:39.88,4,10.31,1:40.02,2,9.79,1:39.81,1,10.27,1:39.78
5,9.47,1:49.66,3,9.55,1:49.43,4,9.53,1:49.55,1,9.49,1:49.30,2,9.58,1:49.36
5,9.74,1:59.40,3,9.71,1:59.14,4,9.73,1:59.28,1,9.69,1:58.99,2,9.64,1:59.00
5,9.63,2:09.03,3,9.33,2:08.47,4,9.67,2:08.95,1,9.35,2:08.34,1,9.34,2:08.34
5,10.11,2:19.14,2,9.38,2:17.85,4,10.09,2:19.04,1,9.44,2:17.78,3,9.60,2:17.94
4,10.25,2:29.39,2,9.76,2:27.61,5,10.56,2:29.60,1,9.75,2:27.53,3,9.83,2:27.77
4,10.51,2:39.90,2,9.94,2:37.55,5,11.12,2:40.72,1,9.91,2:37.44,3,9.97,2:37.74
