van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,DANNEEL Alexandra POSITION,DANNEEL Alexandra LAP TIME,DANNEEL Alexandra ELAPSED TIME,MALAGICH Emina POSITION,MALAGICH Emina LAP TIME,MALAGICH Emina ELAPSED TIME,IZAFATAVA Hanna POSITION,IZAFATAVA Hanna LAP TIME,IZAFATAVA Hanna ELAPSED TIME,IVANDIC Maja POSITION,IVANDIC Maja LAP TIME,IVANDIC Maja ELAPSED TIME,MONVOISIN Aurelie POSITION,MONVOISIN Aurelie LAP TIME,MONVOISIN Aurelie ELAPSED TIME
1,14.86,,3,15.03,15.03,2,14.95,,4,15.10,15.10,6,15.19,15.19,5,15.12,15.12
2,10.86,,4,10.80,25.83,3,10.80,,5,10.82,25.92,6,10.93,26.12,1,10.54,25.66
3,10.95,,5,10.98,36.81,1,10.71,,4,10.80,36.72,6,10.82,36.94,2,10.90,36.56
2,10.53,,5,10.63,47.44,1,10.70,,4,10.63,47.35,6,10.63,47.57,3,10.67,47.23
1,10.10,,5,10.26,57.70,2,10.21,,4,10.24,57.59,6,10.35,57.92,3,10.23,57.46
1,10.31,,5,10.29,1:07.99,2,10.30,,4,10.28,1:07.87,6,10.20,1:08.12,3,10.29,1:07.75
1,9.83,,4,10.03,1:18.02,2,9.87,,5,10.40,1:18.27,6,10.27,1:18.39,3,9.83,1:17.58
6,24.52,,3,9.95,1:27.97,2,10.39,,4,10.44,1:28.71,5,10.61,1:29.00,1,9.84,1:27.42
6,20.06,2:02.02,3,10.27,1:38.24,2,10.16,,4,10.43,1:39.14,4,10.76,1:39.762,1,9.91,1:37.33
