Minto SEKAI POSITION,Minto SEKAI LAP TIME,Minto SEKAI ELAPSED TIME,Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME,Ian UPCOTT POSITION,Ian UPCOTT LAP TIME,Ian UPCOTT ELAPSED TIME,Edoardo REGGIANI POSITION,Edoardo REGGIANI LAP TIME,Edoardo REGGIANI ELAPSED TIME,OLAH Bence POSITION,OLAH Bence LAP TIME,OLAH Bence ELAPSED TIME,Dawid RZEMIENIECKI POSITION,Dawid RZEMIENIECKI LAP TIME,Dawid RZEMIENIECKI ELAPSED TIME
4,8.69,8.69,3,8.54,8.54,6,8.96,8.96,1,8.41,8.41,5,8.81,8.81,2,8.42,8.42
1,11.49,20.18,5,12.02,20.56,6,11.76,20.72,4,12.05,20.46,3,11.58,20.39,2,11.87,20.29
3,11.41,31.59,2,10.94,31.50,1,10.75,31.47,6,11.41,31.87,5,11.42,31.81,4,11.39,31.68
4,10.65,42.24,1,10.50,42.00,2,10.53,42.00,6,10.59,42.46,5,10.58,42.39,3,10.34,42.02
4,10.24,52.48,1,10.25,52.25,2,10.33,52.33,5,10.08,52.54,6,10.22,52.61,3,10.40,52.42
4,10.55,1:03.03,1,10.43,1:02.68,2,10.45,1:02.78,5,10.57,1:03.11,6,10.58,1:03.19,3,10.48,1:02.90
1,10.07,1:13.10,2,10.42,1:13.10,3,10.42,1:13.20,4,10.09,1:13.20,5,10.15,1:13.34,6,10.46,1:13.36
1,9.40,1:22.50,6,9.98,1:23.08,3,9.50,1:22.70,2,9.38,1:22.58,4,9.47,1:22.81,5,9.58,1:22.94
1,9.80,1:32.30,6,9.79,1:32.87,2,9.67,1:32.37,3,9.89,1:32.47,4,9.74,1:32.55,5,9.70,1:32.64
1,9.65,1:41.95,6,9.92,1:42.79,2,9.69,1:42.06,3,9.75,1:42.22,4,9.77,1:42.32,5,9.78,1:42.42
1,9.53,1:51.48,6,10.39,1:53.18,2,9.56,1:51.62,3,9.54,1:51.76,4,9.77,1:52.09,5,9.75,1:52.17
1,9.65,2:01.13,6,11.51,2:04.69,2,9.63,2:01.25,3,9.71,2:01.47,4,10.08,2:02.17,5,10.11,2:02.28
1,9.84,2:10.97,6,12.30,2:16.99,2,10.04,2:11.29,3,10.07,2:11.54,5,11.04,2:13.21,4,10.37,2:12.65
1,9.99,2:20.956,6,13.63,2:30.618,2,9.98,2:21.265,3,10.25,2:21.790,5,12.31,2:25.517,4,10.52,2:23.166
