DION Pascal POSITION,DION Pascal LAP TIME,DION Pascal ELAPSED TIME,LIN Chun-Chieh POSITION,LIN Chun-Chieh LAP TIME,LIN Chun-Chieh ELAPSED TIME,Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME,Mateusz KRZEMINSKI POSITION,Mateusz KRZEMINSKI LAP TIME,Mateusz KRZEMINSKI ELAPSED TIME,SUN Long POSITION,SUN Long LAP TIME,SUN Long ELAPSED TIME
1,6.66,6.66,5,7.27,7.27,2,6.77,6.77,4,7.23,7.23,3,6.97,6.97
1,8.86,15.52,4,9.51,16.78,2,8.89,15.66,5,9.65,16.88,3,8.78,15.75
1,8.49,24.01,4,9.20,25.98,2,8.36,24.02,5,9.18,26.06,3,8.44,24.19
2,8.56,32.57,5,9.45,35.43,1,8.44,32.46,4,9.07,35.13,3,8.46,32.65
2,8.61,41.18,5,9.79,45.22,1,8.61,41.07,4,9.34,44.47,3,8.56,41.21
