BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Adam FILIPOWICZ POSITION,Adam FILIPOWICZ LAP TIME,Adam FILIPOWICZ ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME,Mathias VOSTE POSITION,Mathias VOSTE LAP TIME,Mathias VOSTE ELAPSED TIME
1,6.74,6.74,3,7.13,7.13,2,6.88,6.88,4,7.25,7.25,5,7.26,7.26
1,9.04,15.78,3,8.96,16.09,2,9.01,15.89,4,9.33,16.58,5,9.40,16.66
1,8.71,24.49,2,8.45,24.54,3,8.70,24.59,4,9.02,25.60,5,9.15,25.81
1,8.84,33.33,2,8.86,33.40,3,9.10,33.69,4,9.17,34.77,5,9.05,34.86
2,9.20,42.525,1,9.00,42.395,3,9.19,42.880,4,9.37,44.140,0,,DNF
