LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME,Artur SULTANGALIYEV POSITION,Artur SULTANGALIYEV LAP TIME,Artur SULTANGALIYEV ELAPSED TIME,OH Se-Jong POSITION,OH Se-Jong LAP TIME,OH Se-Jong ELAPSED TIME,Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME
1,15.166,15.166,4,15.639,15.639,3,15.488,15.488,2,15.361,15.361
3,11.438,26.604,1,10.671,26.310,2,11.042,26.530,4,11.383,26.743
4,10.331,36.935,2,10.307,36.617,1,10.023,36.553,3,9.974,36.716
1,9.078,46.012,2,9.508,46.125,3,9.766,46.319,4,9.744,46.460
1,9.607,55.619,2,9.539,55.664,3,9.539,55.857,4,9.728,56.188
3,9.869,1:05.487,2,9.731,1:05.394,1,9.504,1:05.361,4,9.471,1:05.658
2,9.322,1:14.809,1,9.352,1:14.746,3,9.498,1:14.858,4,9.295,1:14.952
2,9.206,1:24.014,4,9.469,1:24.214,1,9.021,1:23.878,3,9.091,1:24.043
2,8.57,1:32.579,4,10.06,1:34.265,1,8.64,1:32.516,3,8.67,1:32.713
