Inan EREN POSITION,Inan EREN LAP TIME,Inan EREN ELAPSED TIME,CHEN Dequan POSITION,CHEN Dequan LAP TIME,CHEN Dequan ELAPSED TIME,Patrick DUFFY POSITION,Patrick DUFFY LAP TIME,Patrick DUFFY ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Eduard STRELKOV POSITION,Eduard STRELKOV LAP TIME,Eduard STRELKOV ELAPSED TIME,Alex VARNYU POSITION,Alex VARNYU LAP TIME,Alex VARNYU ELAPSED TIME,Soo An YOO POSITION,Soo An YOO LAP TIME,Soo An YOO ELAPSED TIME,Daniel ZETZSCHE POSITION,Daniel ZETZSCHE LAP TIME,Daniel ZETZSCHE ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME
9,17.45,17.45,7,17.26,17.26,6,17.05,17.05,3,16.85,16.85,5,16.96,16.96,1,13.74,13.74,8,17.38,17.38,4,16.96,16.96,2,14.48,14.48
9,13.90,31.35,7,13.89,31.15,6,13.93,30.98,3,13.82,30.67,5,13.94,30.90,1,9.23,22.97,8,13.86,31.24,4,13.83,30.79,2,9.62,24.10
6,15.05,46.40,8,15.49,46.64,7,15.50,46.48,3,15.43,46.10,5,15.34,46.24,1,9.44,32.41,9,15.42,46.66,4,15.41,46.20,2,9.61,33.71
6,12.37,58.77,8,12.38,59.02,7,12.40,58.88,5,12.58,58.68,4,12.03,58.27,2,13.63,46.04,9,12.43,59.09,3,11.95,58.15,1,10.60,44.31
6,9.96,1:08.73,8,9.99,1:09.01,7,9.98,1:08.86,5,9.95,1:08.63,4,9.94,1:08.21,2,10.35,56.39,9,9.99,1:09.08,3,9.96,1:08.11,1,10.82,55.13
6,10.24,1:18.97,8,10.23,1:19.24,7,10.25,1:19.11,5,10.27,1:18.90,4,10.46,1:18.67,2,10.46,1:06.85,9,10.25,1:19.33,3,10.48,1:18.59,1,10.66,1:05.79
6,11.33,1:30.30,8,11.31,1:30.55,7,11.31,1:30.42,5,11.29,1:30.19,4,11.43,1:30.10,2,10.80,1:17.65,9,11.30,1:30.63,3,11.43,1:30.02,1,10.84,1:16.63
3,12.58,1:42.88,8,12.74,1:43.29,6,12.66,1:43.08,4,12.77,1:42.96,5,12.95,1:43.05,2,11.20,1:28.85,9,12.75,1:43.38,7,13.15,1:43.17,1,10.75,1:27.38
3,12.96,1:55.84,8,13.20,1:56.49,6,13.12,1:56.20,4,13.06,1:56.02,5,13.05,1:56.10,2,11.28,1:40.13,9,13.22,1:56.60,7,13.20,1:56.37,1,10.73,1:38.11
3,12.69,2:08.53,8,12.85,2:09.34,6,12.86,2:09.06,4,12.83,2:08.85,5,12.86,2:08.96,2,11.37,1:51.50,9,12.88,2:09.48,7,12.87,2:09.24,1,10.75,1:48.86
3,12.65,2:21.18,8,12.42,2:21.76,6,12.45,2:21.51,4,12.46,2:21.31,5,12.46,2:21.42,2,11.01,2:02.51,9,12.36,2:21.84,7,12.40,2:21.64,1,10.87,1:59.73
3,12.35,2:33.53,9,12.36,2:34.12,6,12.35,2:33.86,4,12.38,2:33.69,5,12.37,2:33.79,2,10.67,2:13.18,8,12.21,2:34.05,7,12.33,2:33.97,1,10.76,2:10.49
7,11.78,2:45.31,9,11.49,2:45.61,6,11.43,2:45.29,4,11.49,2:45.18,5,11.46,2:45.25,2,10.79,2:23.97,3,10.99,2:45.04,8,11.50,2:45.47,1,11.50,2:21.99
8,12.11,2:57.42,9,11.93,2:57.54,6,11.94,2:57.23,4,11.94,2:57.12,5,11.96,2:57.21,2,10.80,2:34.77,3,11.95,2:56.99,7,11.86,2:57.33,1,12.07,2:34.06
9,12.87,3:10.29,8,12.69,3:10.23,6,12.74,3:09.97,4,12.74,3:09.86,5,12.75,3:09.96,2,11.25,2:46.02,3,12.70,3:09.69,7,12.80,3:10.13,1,11.82,2:45.88
9,12.27,3:22.56,8,12.24,3:22.47,6,12.25,3:22.22,4,12.10,3:21.96,5,12.12,3:22.08,1,11.26,2:57.28,3,12.09,3:21.78,7,12.22,3:22.35,2,11.81,2:57.69
9,11.85,3:34.41,8,11.73,3:34.20,6,11.78,3:34.00,4,11.82,3:33.78,5,11.81,3:33.89,1,12.32,3:09.60,3,11.83,3:33.61,7,11.76,3:34.11,2,12.87,3:10.56
8,11.97,3:46.38,9,12.24,3:46.44,6,12.18,3:46.18,4,12.24,3:46.02,5,12.21,3:46.10,1,12.10,3:21.70,3,12.29,3:45.90,7,12.19,3:46.30,2,12.23,3:22.79
7,12.09,3:58.47,8,12.21,3:58.65,6,12.21,3:58.39,4,12.17,3:58.19,5,12.20,3:58.30,1,11.84,3:33.54,3,12.16,3:58.06,9,12.46,3:58.76,2,11.52,3:34.31
9,11.90,4:10.37,8,11.72,4:10.37,6,11.84,4:10.23,4,11.78,4:09.97,5,11.84,4:10.14,1,12.28,3:45.82,3,11.76,4:09.82,7,11.57,4:10.33,2,12.37,3:46.68
9,10.35,4:20.72,7,10.08,4:20.45,6,10.12,4:20.35,4,10.20,4:20.17,5,10.15,4:20.29,1,12.18,3:58.00,3,10.24,4:20.06,8,10.21,4:20.54,2,12.25,3:58.93
9,10.04,4:30.76,7,9.77,4:30.22,6,9.77,4:30.12,4,9.72,4:29.89,5,9.73,4:30.02,1,11.96,4:09.96,3,9.71,4:29.77,8,9.76,4:30.30,2,11.79,4:10.72
9,10.33,4:41.09,7,9.50,4:39.72,4,9.39,4:39.51,3,9.51,4:39.40,6,9.55,4:39.57,1,11.33,4:21.29,5,9.79,4:39.56,8,9.58,4:39.88,2,10.83,4:21.55
9,10.98,4:52.07,6,9.07,4:48.79,4,9.07,4:48.58,3,9.10,4:48.50,5,9.12,4:48.69,1,10.89,4:32.18,7,9.61,4:49.17,8,9.49,4:49.37,2,10.93,4:32.48
9,11.73,5:03.80,5,8.84,4:57.63,4,8.94,4:57.52,3,8.91,4:57.41,6,8.98,4:57.67,2,11.41,4:43.59,7,9.75,4:58.92,8,9.72,4:59.09,1,11.08,4:43.56
9,12.22,5:16.02,6,9.74,5:07.37,4,9.14,5:06.66,3,9.18,5:06.59,5,9.01,5:06.68,2,11.52,4:55.11,7,9.95,5:08.87,8,10.08,5:09.17,1,11.23,4:54.79
8,11.64,5:27.660,0,,PEN,4,9.78,5:16.432,3,9.42,5:16.007,5,10.03,5:16.708,2,13.09,5:08.192,6,10.42,5:19.284,7,10.63,5:19.791,1,11.30,5:06.085
