Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Jeff SIMON POSITION,Jeff SIMON LAP TIME,Jeff SIMON ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME
1,6.66,6.66,2,6.83,6.83,3,6.96,6.96,4,7.21,7.21
1,9.19,15.85,2,9.36,16.19,3,9.45,16.41,4,9.31,16.52
1,9.03,24.88,2,8.81,25.00,3,8.72,25.13,4,8.75,25.27
2,9.09,33.97,1,8.71,33.71,3,9.16,34.29,4,9.03,34.30
2,9.39,43.351,1,9.24,42.941,3,9.13,43.417,4,9.25,43.545
