Artur SULTANGALIYEV POSITION,Artur SULTANGALIYEV LAP TIME,Artur SULTANGALIYEV ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,Ronald CALDECUTT POSITION,Ronald CALDECUTT LAP TIME,Ronald CALDECUTT ELAPSED TIME
1,7.00,7.00,4,7.29,7.29,3,7.23,7.23,2,7.19,7.19
1,9.23,16.23,4,9.33,16.62,3,9.24,16.47,2,9.18,16.37
1,8.83,25.06,3,8.66,25.28,2,8.70,25.17,4,9.15,25.52
3,9.04,34.10,2,8.74,34.02,1,8.83,34.00,4,9.07,34.59
3,9.35,43.443,2,9.14,43.155,1,9.06,43.054,4,9.14,43.722
