STODDARD Corinne POSITION,STODDARD Corinne LAP TIME,STODDARD Corinne ELAPSED TIME,GAGNON Claudia POSITION,GAGNON Claudia LAP TIME,GAGNON Claudia ELAPSED TIME,LI Jinyu POSITION,LI Jinyu LAP TIME,LI Jinyu ELAPSED TIME,Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME
1,9.05,9.05,2,9.21,9.21,4,9.58,9.58,3,9.35,9.35,5,9.71,9.71
1,12.47,21.52,2,12.42,21.63,4,12.28,21.86,3,12.38,21.73,5,12.31,22.02
1,12.27,33.79,2,12.25,33.88,4,12.14,34.00,3,12.24,33.97,5,12.17,34.19
1,11.83,45.62,3,12.03,45.91,4,12.07,46.07,2,11.83,45.80,5,12.03,46.22
1,11.61,57.23,4,11.49,57.40,3,11.27,57.34,2,11.52,57.32,5,11.34,57.56
2,11.16,1:08.39,2,10.99,1:08.39,4,11.16,1:08.50,1,10.98,1:08.30,5,11.16,1:08.72
3,10.11,1:18.50,1,9.92,1:18.31,4,10.13,1:18.63,2,10.11,1:18.41,5,10.05,1:18.77
2,9.93,1:28.43,1,10.04,1:28.35,4,9.99,1:28.62,3,10.04,1:28.45,5,10.01,1:28.78
2,9.91,1:38.34,1,9.90,1:38.25,4,9.96,1:38.58,3,10.00,1:38.45,5,9.92,1:38.70
3,9.87,1:48.21,1,9.77,1:48.02,4,9.68,1:48.26,2,9.69,1:48.14,5,9.75,1:48.45
3,9.72,1:57.93,1,9.74,1:57.76,4,9.69,1:57.95,2,9.70,1:57.84,5,9.73,1:58.18
4,9.65,2:07.58,3,9.75,2:07.51,2,9.41,2:07.36,1,9.47,2:07.31,5,9.49,2:07.67
4,9.73,2:17.31,3,9.69,2:17.20,1,9.26,2:16.62,2,9.48,2:16.79,5,9.75,2:17.42
4,9.94,2:27.25,3,9.88,2:27.08,1,9.72,2:26.34,2,9.64,2:26.43,5,10.78,2:28.20
