Ingmar van RIEL POSITION,Ingmar van RIEL LAP TIME,Ingmar van RIEL ELAPSED TIME,Sergey PRANKEVICH POSITION,Sergey PRANKEVICH LAP TIME,Sergey PRANKEVICH ELAPSED TIME,Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME,Azamat NURMAGAMBETOV POSITION,Azamat NURMAGAMBETOV LAP TIME,Azamat NURMAGAMBETOV ELAPSED TIME
1,7.090,7.090,2,7.280,7.280,2,7.280,7.280,4,7.380,7.380
1,9.630,16.720,2,9.550,16.840,3,9.700,16.990,4,9.660,17.040
2,9.330,26.060,1,9.140,25.990,3,9.320,26.310,4,21.290,38.330
2,9.490,35.560,1,9.340,35.330,3,9.360,35.670,4,18.490,56.830
2,9.800,45.360,1,9.830,45.170,3,9.700,45.380,4,14.120,1:10.950
