ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME,KIKUCHI Yuki POSITION,KIKUCHI Yuki LAP TIME,KIKUCHI Yuki ELAPSED TIME,SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,Iong A KIM POSITION,Iong A KIM LAP TIME,Iong A KIM ELAPSED TIME,Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Cheyenne GOH POSITION,Cheyenne GOH LAP TIME,Cheyenne GOH ELAPSED TIME
1,9.28,9.28,3,9.42,9.42,5,9.69,9.69,4,9.56,9.56,6,9.95,9.95,2,9.31,9.31,7,10.14,10.14
2,13.09,22.37,3,13.07,22.49,4,12.86,22.55,6,13.05,22.61,5,12.61,22.56,1,12.98,22.29,7,12.76,22.90
6,11.87,34.24,3,11.45,33.94,4,11.42,33.97,1,11.11,33.72,2,11.31,33.87,5,11.82,34.11,7,11.51,34.41
3,10.07,44.31,1,10.12,44.06,5,10.49,44.46,2,10.50,44.22,4,10.50,44.37,6,10.50,44.61,7,10.37,44.78
1,9.97,54.28,2,10.32,54.38,5,10.20,54.66,4,10.36,54.58,3,10.12,54.49,6,10.21,54.82,7,10.25,55.03
1,10.50,1:04.78,2,10.48,1:04.86,6,10.52,1:05.18,4,10.54,1:05.12,3,10.51,1:05.00,5,10.34,1:05.16,7,10.40,1:05.43
3,10.19,1:14.97,2,10.10,1:14.96,6,10.17,1:15.35,4,9.98,1:15.10,5,10.23,1:15.23,1,9.70,1:14.86,7,10.29,1:15.72
1,9.72,1:24.69,5,9.95,1:24.91,4,9.51,1:24.86,6,9.83,1:24.93,3,9.59,1:24.82,2,9.87,1:24.73,7,10.21,1:25.93
1,9.49,1:34.18,5,9.67,1:34.58,3,9.47,1:34.33,6,9.74,1:34.67,4,9.67,1:34.49,2,9.55,1:34.28,7,10.37,1:36.30
1,9.79,1:43.97,5,9.91,1:44.49,3,9.85,1:44.18,6,9.93,1:44.60,4,9.88,1:44.37,2,9.84,1:44.12,7,10.80,1:47.10
1,9.75,1:53.72,5,9.60,1:54.09,3,9.64,1:53.82,6,9.60,1:54.20,4,9.61,1:53.98,2,9.64,1:53.76,7,11.09,1:58.19
3,9.69,2:03.41,5,9.48,2:03.57,2,9.41,2:03.23,6,9.41,2:03.61,4,9.45,2:03.43,1,9.41,2:03.17,7,11.34,2:09.53
4,9.69,2:13.10,5,9.60,2:13.17,2,9.63,2:12.86,6,9.68,2:13.29,3,9.54,2:12.97,1,9.63,2:12.80,7,11.75,2:21.28
4,9.88,2:22.98,5,9.87,2:23.044,3,9.98,2:22.84,6,9.88,2:23.173,1,9.60,2:22.57,2,9.92,2:22.72,7,11.68,2:32.968
