Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME,Tina GRASSOW POSITION,Tina GRASSOW LAP TIME,Tina GRASSOW ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME
2,14.04,14.04,4,14.26,14.26,3,14.16,14.16,1,13.94,13.94
3,11.68,25.72,4,11.59,25.85,2,11.53,25.69,1,11.67,25.61
3,11.62,37.34,4,11.51,37.36,1,11.49,37.18,2,11.61,37.22
3,10.81,48.15,4,23.05,1:00.41,2,10.39,47.57,1,10.28,47.50
3,9.96,58.11,4,22.57,1:22.98,2,10.45,58.02,1,10.42,57.92
1,9.97,1:08.08,4,13.30,1:36.28,3,10.40,1:08.42,2,10.36,1:08.28
1,10.01,1:18.09,4,12.32,1:48.60,3,9.90,1:18.32,2,9.93,1:18.21
1,9.97,1:28.06,4,11.42,2:00.02,3,9.96,1:28.28,2,9.98,1:28.19
0,,PEN,3,11.39,2:11.409,2,10.24,1:38.515,1,10.22,1:38.404
