Guillaume MATHIEU POSITION,Guillaume MATHIEU LAP TIME,Guillaume MATHIEU ELAPSED TIME,Fabio CARTA POSITION,Fabio CARTA LAP TIME,Fabio CARTA ELAPSED TIME,Dmitry VASILENKO POSITION,Dmitry VASILENKO LAP TIME,Dmitry VASILENKO ELAPSED TIME,Robbert-Kees BOER POSITION,Robbert-Kees BOER LAP TIME,Robbert-Kees BOER ELAPSED TIME
2,7.116,7.116,1,6.737,6.737,3,7.178,7.178,4,7.345,7.345
3,9.633,16.749,1,9.070,15.806,2,9.375,16.553,4,9.590,16.935
3,9.127,25.875,1,8.864,24.669,2,9.064,25.616,4,8.988,25.922
3,9.053,34.928,1,9.136,33.805,2,8.932,34.547,4,9.196,35.117
3,9.32,44.242,1,9.64,43.438,2,9.25,43.794,4,9.43,44.540
